Player,Season,Age,Nation,Club,Matchs_played,Minutes_played,Titular_played,Goals,Assists,Position
Riyad Mahrez,2020-2021,29,Algeria,Manchester City,27,1949,23,9,6,FW
Riyad Mahrez,2021-2022,30,Algeria,Manchester City,28,1498,15,11,5,FW
Riyad Mahrez,2022-2023,31,Algeria,Manchester City,30,1920,22,5,10,FW
Robert Snodgrass,2019-2020,31,Scotland,West Ham,24,1509,17,5,5,MF
Robert Snodgrass,2020-2021,32,Scotland,2 Teams,11,531,6,0,0,MF
Roberto Firmino,2018-2019,26,Brazil,Liverpool,34,2607,31,12,6,FW
Roberto Firmino,2019-2020,27,Brazil,Liverpool,38,2988,34,9,8,FW
Roberto Firmino,2020-2021,28,Brazil,Liverpool,36,2838,33,9,7,FW
Roberto Firmino,2021-2022,29,Brazil,Liverpool,20,990,10,5,4,FW
Roberto Firmino,2022-2023,30,Brazil,Liverpool,25,1213,13,11,4,FW
Roberto Pereyra,2019-2020,28,Argentina,Watford,28,1648,17,3,0,FW
Rodrigo,2020-2021,29,Spain,Leeds United,26,1288,14,7,2,MF
Rodrigo,2021-2022,30,Spain,Leeds United,31,2265,27,6,1,MF
Rodrigo,2022-2023,31,Spain,Leeds United,31,1935,23,13,1,FW
Rodrigo Muniz,2023-2024,22,Brazil,Fulham,26,1593,18,9,1,FW
Romain Faivre,2023-2024,25,France,Bournemouth,5,41,0,0,0,MF
Romelu Lukaku,2018-2019,25,Belgium,Manchester Utd,32,2136,22,12,0,FW
Romelu Lukaku,2021-2022,28,Belgium,Chelsea,26,1589,16,8,0,FW
Ross Barkley,2020-2021,26,England,Chelsea,2,42,0,0,0,FW
Ross Barkley,2021-2022,27,England,Chelsea,6,179,1,1,0,MF
Ruben Loftus-Cheek,2018-2019,22,England,Chelsea,24,998,6,6,2,MF
Ruben Loftus-Cheek,2019-2020,23,England,Chelsea,7,208,2,0,1,MF
Ruben Loftus-Cheek,2020-2021,24,England,2 Teams,31,1969,22,1,0,FW
Ryan Babel,2018-2019,31,Netherlands,Fulham,16,1251,15,5,3,FW
Ryan Christie,2022-2023,27,Scotland,Bournemouth,32,1834,22,1,1,MF
Ryan Fraser,2018-2019,24,Scotland,Bournemouth,38,3166,35,7,14,MF
Ryan Fraser,2019-2020,25,Scotland,Bournemouth,28,2067,21,1,4,MF
Ryan Fraser,2020-2021,26,Scotland,Newcastle Utd,18,928,9,0,2,FW
Ryan Fraser,2021-2022,27,Scotland,Newcastle Utd,27,1465,18,2,3,FW
Ryan Fraser,2022-2023,28,Scotland,Newcastle Utd,8,313,3,0,0,FW
Ryan Fredericks,2020-2021,27,England,West Ham,14,569,6,1,1,DF
Ryan Sessegnon,2018-2019,18,England,Fulham,35,2300,26,2,6,FW
Ryan Sessegnon,2019-2020,19,England,Tottenham,6,342,4,0,0,DF
Sadio Mané,2018-2019,26,Senegal,Liverpool,36,3077,35,22,1,FW
Sadio Mané,2019-2020,27,Senegal,Liverpool,35,2747,31,18,7,FW
Sadio Mané,2020-2021,28,Senegal,Liverpool,35,2810,31,11,7,FW
Sadio Mané,2021-2022,29,Senegal,Liverpool,34,2819,32,16,2,FW
Salomón Rondón,2018-2019,28,Venezuela,Newcastle Utd,32,2603,30,11,7,FW
Salomón Rondón,2021-2022,31,Venezuela,Everton,20,790,8,1,1,FW
Salomón Rondón,2022-2023,32,Venezuela,Everton,7,109,1,0,0,FW
Sam Greenwood,2021-2022,19,England,Leeds United,7,237,1,0,2,MF
Sam Greenwood,2022-2023,20,England,Leeds United,18,424,3,1,2,MF
Sam Surridge,2018-2019,20,England,Bournemouth,2,13,0,0,0,MF
Sam Surridge,2019-2020,21,England,Bournemouth,4,27,0,0,0,FW
Sam Surridge,2022-2023,24,England,Nott'ham Forest,20,323,1,1,0,FW
Sam Vokes,2018-2019,28,Wales,Burnley,20,915,10,3,0,FW
Samuel Edozie,2022-2023,19,England,Southampton,17,567,5,0,0,FW
Samuel Kalu,2021-2022,23,Nigeria,Watford,4,222,2,0,0,FW
Sasa Kalajdzic,2022-2023,25,Austria,Wolves,1,45,1,0,0,FW
Sasa Kalajdzic,2023-2024,26,Austria,Wolves,11,166,1,2,0,FW
Saïd Benrahma,2020-2021,24,Algeria,West Ham,30,1391,14,1,6,FW
Saïd Benrahma,2021-2022,25,Algeria,West Ham,32,2168,26,8,6,FW
Saïd Benrahma,2022-2023,26,Algeria,West Ham,35,2069,22,6,3,FW
Saïd Benrahma,2023-2024,27,Algeria,West Ham,13,620,5,0,1,FW
Scott McTominay,2023-2024,26,Scotland,Manchester Utd,32,1901,18,7,1,MF
Sekou Mara,2022-2023,20,France,Southampton,22,555,4,1,2,FW
Sergi Canós,2021-2022,24,Spain,Brentford,31,2083,25,3,2,DF
Sergi Canós,2022-2023,25,Spain,Brentford,5,77,0,0,0,FW
Sergio Agüero,2018-2019,30,Argentina,Manchester City,33,2459,31,21,8,FW
Sergio Agüero,2019-2020,31,Argentina,Manchester City,24,1452,18,16,3,FW
Sergio Agüero,2020-2021,32,Argentina,Manchester City,12,559,7,4,1,FW
Sergio Gómez,2023-2024,22,Spain,Manchester City,6,53,0,0,1,FW
Shane Duffy,2022-2023,30,Ireland,Fulham,5,20,0,0,0,DF
Shane Long,2018-2019,31,Ireland,Southampton,26,1272,12,5,1,FW
Shane Long,2019-2020,32,Ireland,Southampton,26,1395,15,2,2,FW
Shane Long,2020-2021,33,Ireland,Southampton,11,210,1,0,0,FW
Shane Long,2021-2022,34,Ireland,Southampton,13,308,3,1,0,FW
Shinji Okazaki,2018-2019,32,Japan,Leicester City,21,288,1,0,1,MF
Simon Adingra,2023-2024,21,Ivory Coast,Brighton,31,2222,25,6,1,FW
Siriki Dembélé,2022-2023,25,Ivory Coast,Bournemouth,6,110,0,0,0,FW
Sofiane Boufal,2019-2020,25,Morocco,Southampton,20,764,8,0,2,MF
Solly March,2018-2019,24,England,Brighton,35,2463,30,1,5,FW
Solly March,2019-2020,25,England,Brighton,19,1143,11,0,1,FW
Solly March,2021-2022,27,England,Brighton,31,1746,17,0,2,DF
Solly March,2022-2023,28,England,Brighton,33,2715,31,7,7,FW
Solly March,2023-2024,29,England,Brighton,7,554,7,3,1,FW
Son Heung-min,2018-2019,26,South Korea,Tottenham,31,2039,23,12,6,FW
Son Heung-min,2019-2020,27,South Korea,Tottenham,30,2476,28,11,10,FW
Son Heung-min,2020-2021,28,South Korea,Tottenham,37,3114,36,17,10,FW
Son Heung-min,2021-2022,29,South Korea,Tottenham,35,3006,35,23,7,MF
Son Heung-min,2022-2023,30,South Korea,Tottenham,36,2888,33,10,6,MF
Son Heung-min,2023-2024,31,South Korea,Tottenham,35,2934,34,17,10,FW
Stefano Okaka,2018-2019,28,Italy,Watford,2,24,0,0,0,FW
Steve Mounié,2018-2019,23,BEN,Huddersfield,31,1778,19,2,3,FW
Steven Bergwijn,2019-2020,21,Netherlands,Tottenham,14,704,8,3,1,FW
Steven Bergwijn,2020-2021,22,Netherlands,Tottenham,21,1208,13,1,3,FW
Steven Bergwijn,2021-2022,23,Netherlands,Tottenham,25,565,4,3,1,FW
Stuart Armstrong,2022-2023,30,Scotland,Southampton,32,1408,14,2,1,MF
Sébastien Haller,2019-2020,25,Ivory Coast,West Ham,32,2266,24,7,1,FW
Sébastien Haller,2020-2021,26,Ivory Coast,West Ham,16,937,10,3,0,FW
Tahith Chong,2018-2019,18,CUW,Manchester Utd,2,38,0,0,0,FW
Tahith Chong,2019-2020,19,CUW,Manchester Utd,3,37,0,0,0,FW
Tahith Chong,2023-2024,23,CUW,Luton Town,33,1982,20,4,0,MF
Taiwo Awoniyi,2022-2023,24,Nigeria,Nott'ham Forest,27,1404,17,10,1,FW
Taiwo Awoniyi,2023-2024,25,Nigeria,Nott'ham Forest,20,1042,12,6,3,FW
Takumi Minamino,2019-2020,24,Japan,Liverpool,10,249,2,0,0,FW
Takumi Minamino,2020-2021,25,Japan,Liverpool,9,293,2,1,0,MF
Takumi Minamino,2021-2022,26,Japan,Liverpool,11,186,1,3,0,FW
Tammy Abraham,2019-2020,21,England,Chelsea,34,2215,25,15,3,FW
Tammy Abraham,2020-2021,22,England,Chelsea,22,1040,12,6,1,FW
Tariq Lamptey,2021-2022,20,Ghana,Brighton,30,1561,16,0,2,DF
Tariq Lamptey,2023-2024,22,Ghana,Brighton,19,914,10,0,3,DF
Tawanda Chirewa,2023-2024,19,Zimbabwe,Wolves,8,145,1,0,0,MF
Teemu Pukki,2019-2020,29,Finland,Norwich City,36,2886,33,11,3,FW
Teemu Pukki,2021-2022,31,Finland,Norwich City,37,3253,37,11,3,FW
Tetê,2022-2023,22,Brazil,Leicester City,13,734,9,1,0,FW
Theo Walcott,2018-2019,29,England,Everton,37,2119,24,5,2,FW
Theo Walcott,2019-2020,30,England,Everton,25,1287,17,2,3,MF
Theo Walcott,2020-2021,31,England,2 Teams,22,1631,20,3,3,MF
Theo Walcott,2021-2022,32,England,Southampton,9,379,5,0,0,MF
Theo Walcott,2022-2023,33,England,Southampton,20,1129,13,2,2,FW
Thomas Cannon,2022-2023,19,Ireland,Everton,2,25,0,0,0,FW
Timo Werner,2020-2021,24,Germany,Chelsea,35,2602,29,6,8,FW
Timo Werner,2021-2022,25,Germany,Chelsea,21,1283,15,4,1,FW
Timo Werner,2023-2024,27,Germany,Tottenham,13,809,10,2,3,FW
Todd Cantwell,2019-2020,21,England,Norwich City,37,2489,30,6,2,FW
Todd Cantwell,2021-2022,23,England,Norwich City,8,441,5,0,0,FW
Tom Cairney,2018-2019,27,Scotland,Fulham,31,2194,24,1,1,MF
Tony Springett,2021-2022,18,Ireland,Norwich City,3,141,1,0,0,MF
Troy Deeney,2018-2019,30,England,Watford,32,2545,28,9,5,FW
Troy Deeney,2019-2020,31,England,Watford,27,2225,26,10,2,FW
Troy Deeney,2021-2022,33,England,Watford,2,25,0,0,0,FW
Trézéguet,2019-2020,24,Egypt,Aston Villa,34,1950,20,6,1,FW
Trézéguet,2020-2021,25,Egypt,Aston Villa,21,1166,12,2,1,FW
Trézéguet,2021-2022,26,Egypt,Aston Villa,1,11,0,0,0,FW
Tyler Roberts,2020-2021,21,Wales,Leeds United,27,1340,14,1,2,MF
Tyler Roberts,2021-2022,22,Wales,Leeds United,23,987,7,1,1,MF
Valentín Barco,2023-2024,19,Argentina,Brighton,6,307,3,0,0,DF
Vincent Janssen,2018-2019,24,Netherlands,Tottenham,3,39,0,0,0,FW
Wesley Moraes,2019-2020,22,Brazil,Aston Villa,21,1782,21,5,1,FW
Wesley Moraes,2020-2021,23,Brazil,Aston Villa,3,18,0,0,0,FW
Wilfried Gnonto,2022-2023,18,Italy,Leeds United,24,1354,14,2,4,FW
Wilfried Zaha,2018-2019,25,Ivory Coast,Crystal Palace,34,3036,34,10,5,FW
Wilfried Zaha,2019-2020,26,Ivory Coast,Crystal Palace,38,3280,37,4,3,FW
Wilfried Zaha,2020-2021,27,Ivory Coast,Crystal Palace,30,2612,29,11,2,FW
Wilfried Zaha,2021-2022,28,Ivory Coast,Crystal Palace,33,2760,31,14,1,FW
Wilfried Zaha,2022-2023,29,Ivory Coast,Crystal Palace,27,2288,27,7,2,FW
William Osula,2023-2024,19,Denmark,Sheffield Utd,21,786,9,0,0,FW
William Smallbone,2021-2022,21,Ireland,Southampton,4,133,2,0,0,MF
Willian,2018-2019,29,Brazil,Chelsea,32,2097,26,3,6,FW
Willian,2019-2020,30,Brazil,Chelsea,36,2600,29,9,7,FW
Willian,2020-2021,31,Brazil,Arsenal,25,1406,16,1,5,FW
Willian,2022-2023,33,Brazil,Fulham,27,2126,25,5,5,FW
Willian,2023-2024,34,Brazil,Fulham,31,2053,24,4,2,FW
Willian José,2020-2021,28,Brazil,Wolves,17,1110,12,1,0,FW
Wilson Odobert,2023-2024,18,France,Burnley,29,2098,25,3,2,MF
Wout Weghorst,2021-2022,28,Netherlands,Burnley,20,1450,17,2,3,FW
Wout Weghorst,2022-2023,29,Netherlands,Manchester Utd,17,797,10,0,1,FW
Xande Silva,2018-2019,21,Portugal,West Ham,1,18,0,0,0,FW
Xherdan Shaqiri,2018-2019,26,Switzerland,Liverpool,24,1064,11,6,3,FW
Xherdan Shaqiri,2019-2020,27,Switzerland,Liverpool,7,185,2,1,0,FW
Xherdan Shaqiri,2020-2021,28,Switzerland,Liverpool,14,556,5,0,2,MF
Yoane Wissa,2021-2022,24,DR Congo,Brentford,30,1284,12,7,1,FW
Yoane Wissa,2022-2023,25,DR Congo,Brentford,38,1606,16,7,3,FW
Yoane Wissa,2023-2024,26,DR Congo,Brentford,34,2493,29,12,3,FW
Yoshinori Mutō,2018-2019,26,Japan,Newcastle Utd,17,524,5,1,0,FW
Yoshinori Mutō,2019-2020,27,Japan,Newcastle Utd,8,212,2,0,0,MF
Youri Tielemans,2023-2024,26,Belgium,Aston Villa,32,1622,17,2,6,MF
Youssef Chermiti,2023-2024,19,Portugal,Everton,18,208,1,0,0,FW
Zeki Amdouni,2023-2024,22,Switzerland,Burnley,34,1953,27,5,1,FW
Álvaro Morata,2018-2019,25,Spain,Chelsea,16,941,11,5,0,FW
Érik Lamela,2018-2019,26,Argentina,Tottenham,19,974,9,4,2,MF
Érik Lamela,2019-2020,27,Argentina,Tottenham,25,1215,12,2,1,MF
Érik Lamela,2020-2021,28,Argentina,Tottenham,23,717,5,1,0,FW
Aaron Ramsdale,2019-2020,21,England,Bournemouth,37,3330,37,0,1,GK
Aaron Ramsdale,2020-2021,22,England,Sheffield Utd,38,3420,38,0,0,GK
Aaron Ramsdale,2021-2022,23,England,Arsenal,34,3060,34,0,0,GK
Aaron Ramsdale,2022-2023,24,England,Arsenal,38,3420,38,0,0,GK
Aaron Ramsdale,2023-2024,25,England,Arsenal,6,540,6,0,0,GK
Adam Davies,2023-2024,31,Wales,Sheffield Utd,0,,0,,,GK
Adrián,2019-2020,32,Spain,Liverpool,11,875,9,0,0,GK
Adrián,2020-2021,33,Spain,Liverpool,3,270,3,0,0,GK
Alex McCarthy,2018-2019,28,England,Southampton,25,2250,25,0,0,GK
Alex McCarthy,2019-2020,29,England,Southampton,28,2520,28,0,0,GK
Alex McCarthy,2020-2021,30,England,Southampton,30,2700,30,0,0,GK
Alex McCarthy,2021-2022,31,England,Southampton,17,1530,17,0,0,GK
Alex McCarthy,2022-2023,32,England,Southampton,6,540,6,0,0,GK
Alex Smithies,2018-2019,28,England,Cardiff City,0,,0,,,GK
Alex Smithies,2022-2023,32,England,Leicester City,0,,0,,,GK
Alfie Whiteman,2018-2019,19,England,Tottenham,0,,0,,,GK
Alfie Whiteman,2019-2020,20,England,Tottenham,0,,0,,,GK
Alfie Whiteman,2023-2024,24,England,Tottenham,0,,0,,,GK
Alisson,2018-2019,25,Brazil,Liverpool,38,3420,38,0,0,GK
Alisson,2019-2020,26,Brazil,Liverpool,29,2543,29,0,1,GK
Alisson,2020-2021,27,Brazil,Liverpool,33,2970,33,1,0,GK
Alisson,2021-2022,28,Brazil,Liverpool,36,3240,36,0,1,GK
Alisson,2022-2023,29,Brazil,Liverpool,37,3330,37,0,1,GK
Alisson,2023-2024,30,Brazil,Liverpool,28,2520,28,0,0,GK
Alphonse Areola,2020-2021,27,France,Fulham,36,3240,36,0,0,GK
Alphonse Areola,2021-2022,28,France,West Ham,1,90,1,0,0,GK
Alphonse Areola,2022-2023,29,France,West Ham,5,309,2,0,0,GK
Alphonse Areola,2023-2024,30,France,West Ham,31,2699,31,0,0,GK
Altay Bayındır,2023-2024,25,Turkey,Manchester Utd,0,,0,,,GK
Andreas Søndergaard,2020-2021,19,Denmark,Wolves,0,,0,,,GK
André Onana,2023-2024,27,Cameroon,Manchester Utd,38,3420,38,0,0,GK
Andy Lonergan,2019-2020,35,Ireland,Liverpool,0,,0,,,GK
Andy Lonergan,2020-2021,36,Ireland,West Brom,0,,0,,,GK
Andy Lonergan,2021-2022,37,Ireland,Everton,0,,0,,,GK
Andy Lonergan,2022-2023,38,Ireland,Everton,0,,0,,,GK
Andy Lonergan,2023-2024,39,Ireland,Everton,0,,0,,,GK
Angus Gunn,2018-2019,22,Scotland,Southampton,12,1080,12,0,0,GK
Angus Gunn,2019-2020,23,Scotland,Southampton,10,900,10,0,0,GK
Angus Gunn,2021-2022,25,Scotland,Norwich City,9,810,9,0,0,GK
Archie Mair,2019-2020,18,Scotland,Norwich City,0,,0,,,GK
Arijanet Muric,2018-2019,19,Kosovo,Manchester City,0,,0,,,GK
Arijanet Muric,2023-2024,24,Kosovo,Burnley,10,900,10,0,0,GK
Arthur Okonkwo,2021-2022,19,England,Arsenal,0,,0,,,GK
Artur Boruc,2018-2019,38,Poland,Bournemouth,12,1080,12,0,0,GK
Artur Boruc,2019-2020,39,Poland,Bournemouth,0,,0,,,GK
Asmir Begović,2018-2019,31,Bosnia and Herzegovina,Bournemouth,24,2160,24,0,0,GK
Asmir Begović,2021-2022,34,Bosnia and Herzegovina,Everton,3,270,3,0,0,GK
