Unnamed: 0,Player,Unnamed: 2,Season,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3,Playing Time.4,Playing Time.5,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Performance.8,Performance.9,Performance.10,Performance.11,Performance.12,Performance.13,Performance.14,Performance.15,Unnamed: 30,-additional
18,Martin Dúbravka,58,2019-2020,30,sk SVK,Newcastle Utd,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,58,195,139,71.3,11,11,16,11,28.9,GK,3a949a25
144,Martin Dúbravka,19,2020-2021,31,sk SVK,Newcastle Utd,eng Premier League,13,1170,13.0,13,0,11,0,0,0,0,0,0,0,19,62,44,71.0,5,5,3,3,23.1,GK,3a949a25
87,Martin Dúbravka,35,2021-2022,32,sk SVK,Newcastle Utd,eng Premier League,26,2340,26.0,26,0,3,0,0,0,0,0,0,0,35,106,72,67.9,13,4,9,8,30.8,GK,3a949a25
221,Martin Dúbravka,1,2022-2023,33,sk SVK,2 Teams,eng Premier League,2,157,1.7,1,1,26,0,0,0,0,0,0,0,1,9,9,88.9,0,1,0,0,0.0,GK,3a949a25
67,Martin Dúbravka,42,2023-2024,34,sk SVK,Newcastle Utd,eng Premier League,23,1985,22.1,22,1,14,0,0,0,0,0,0,0,42,130,87,70.8,9,4,9,5,22.7,GK,3a949a25
374,Matej Kovar,,2022-2023,22,cz CZE,Manchester Utd,eng Premier League,0,,,0,0,1,,,,,,,,,,,,0,0,0,,,GK,bc67a0e1
29,Mathew Ryan,55,2018-2019,26,au AUS,Brighton,eng Premier League,34,3060,34.0,34,0,0,0,0,0,0,0,0,0,55,152,96,69.1,8,8,18,6,17.6,GK,4535e4bb
33,Mathew Ryan,54,2019-2020,27,au AUS,Brighton,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,54,168,116,69.0,9,14,15,9,23.7,GK,4535e4bb
138,Mathew Ryan,21,2020-2021,28,au AUS,2 Teams,eng Premier League,14,1260,14.0,14,0,13,0,0,0,0,0,0,0,21,44,24,63.6,3,5,6,3,21.4,GK,4535e4bb
355,Matija Šarkić,,2022-2023,25,me MNE,Wolves,eng Premier League,0,,,0,0,20,,,,,,,,,,,,0,0,0,,,GK,a89e7b29
247,Matt Macey,,2019-2020,24,eng ENG,Arsenal,eng Premier League,0,,,0,0,8,,,,,,,,,,,,0,0,0,,,GK,136e7649
248,Matt Macey,,2020-2021,25,eng ENG,Arsenal,eng Premier League,0,,,0,0,2,,,,,,,,,,,,0,0,0,,,GK,136e7649
291,Matt Turner,,2022-2023,28,us USA,Arsenal,eng Premier League,0,,,0,0,37,,,,,,,,,,,,0,0,0,,,GK,4a51ba65
111,Matt Turner,28,2023-2024,29,us USA,Nott'ham Forest,eng Premier League,17,1530,17.0,17,0,20,0,0,0,0,0,0,0,28,80,52,67.5,4,5,8,2,11.8,GK,4a51ba65
