player,club,position,age,true_value,predicted_value,residual,abs_residual,percentage_error,over_under,value_category
Chris Richards,Crystal Palace,DF,22.0,8999999.999999996,5.2428795e+06,3757120.4999999963,3757120.4999999963,41.74578333333331,Underestimated,Medium-Low (Q2)
Christian Pulisic,Chelsea,FW,23.0,48000000.00000006,1.7420108e+07,30579892.00000006,30579892.00000006,63.70810833333338,Underestimated,High (Q4)
Clément Lenglet,Tottenham,DF,27.0,16000000.000000026,1.9254408e+07,-3254407.999999974,3254407.999999974,20.340049999999803,Overestimated,Medium-High (Q3)
Conor Coady,2 Teams,DF,29.0,14499999.99999999,4.90115e+06,9598849.99999999,9598849.99999999,66.19896551724136,Underestimated,Medium-High (Q3)
Cristian Romero,Tottenham,DF,24.0,49500000.00000008,1.2897244e+07,36602756.00000008,36602756.00000008,73.94496161616166,Underestimated,High (Q4)
Cédric Soares,2 Teams,DF,30.0,4799999.999999999,3.730188e+06,1069811.999999999,1069811.999999999,22.287749999999985,Underestimated,Low (Q1)
César Azpilicueta,Chelsea,DF,32.0,20000000.000000015,8.421283e+06,11578717.000000015,11578717.000000015,57.89358500000004,Underestimated,Medium-High (Q3)
Dan Burn,Newcastle Utd,DF,30.0,8499999.999999998,1.1382103e+07,-2882103.000000002,2882103.000000002,33.90709411764709,Overestimated,Medium-Low (Q2)
Davinson Sánchez,Tottenham,DF,26.0,17999999.999999985,1.2060619e+07,5939380.999999985,5939380.999999985,32.996561111111056,Underestimated,Medium-High (Q3)
Diogo Dalot,Manchester Utd,DF,23.0,20999999.99999998,1.7936232e+07,3063767.9999999814,3063767.9999999814,14.58937142857135,Underestimated,Medium-High (Q3)
Eric Dier,Tottenham,DF,28.0,20000000.000000015,1.2904601e+07,7095399.000000015,7095399.000000015,35.47699500000005,Underestimated,Medium-High (Q3)
Ezri Konsa,Aston Villa,DF,24.0,32499999.999999955,7.5214245e+06,24978575.499999955,24978575.499999955,76.85715538461535,Underestimated,High (Q4)
Fabian Schär,Newcastle Utd,DF,30.0,8499999.999999998,1.6586057e+07,-8086057.000000002,8086057.000000002,95.13008235294122,Overestimated,Medium-Low (Q2)
Gabriel Magalhães,Arsenal,DF,24.0,36999999.99999993,2.285205e+07,14147949.999999933,14147949.999999933,38.23770270270259,Underestimated,High (Q4)
Harry Maguire,Manchester Utd,DF,29.0,24000000.0,1.0125943e+07,13874057.0,13874057.0,57.80857083333333,Underestimated,Medium-High (Q3)
Harry Toffolo,Nott'ham Forest,DF,26.0,2800000.000000002,4.543205e+06,-1743204.9999999981,1743204.9999999981,62.25732142857132,Overestimated,Low (Q1)
Hugo Bueno,Wolves,DF,19.0,600000.0000000003,1.7323982e+06,-1132398.2499999995,1132398.2499999995,188.73304166666648,Overestimated,Low (Q1)
Ibrahima Konaté,Liverpool,DF,23.0,48000000.00000006,2.191131e+07,26088690.00000006,26088690.00000006,54.35143750000005,Underestimated,High (Q4)
Issa Diop,Fulham,DF,25.0,14000000.00000001,7.951795e+06,6048205.000000009,6048205.000000009,43.20146428571432,Underestimated,Medium-Low (Q2)
Ivan Perišić,Tottenham,DF,33.0,26499999.999999996,1.5274372e+07,11225627.999999996,11225627.999999996,42.360860377358485,Underestimated,Medium-High (Q3)
James Garner,Everton,MF,21.0,4999999.999999999,3.3469635e+06,1653036.499999999,1653036.499999999,33.060729999999985,Underestimated,Low (Q1)
James Milner,Liverpool,MF,36.0,4399999.999999997,6.6396915e+06,-2239691.500000003,2239691.500000003,50.90207954545464,Overestimated,Low (Q1)
James Tarkowski,Everton,DF,29.0,14499999.99999999,5.7475385e+06,8752461.49999999,8752461.49999999,60.36180344827584,Underestimated,Medium-High (Q3)
Jan Paul van Hecke,Brighton,DF,22.0,3900000.000000008,4.2771875e+06,-377187.4999999921,377187.4999999921,9.671474358974136,Overestimated,Low (Q1)
Joachim Andersen,Crystal Palace,DF,26.0,12000000.000000007,7.4977765e+06,4502223.500000007,4502223.500000007,37.5185291666667,Underestimated,Medium-Low (Q2)
Joe Gomez,Liverpool,DF,25.0,33999999.99999994,1.1510299e+07,22489700.99999994,22489700.99999994,66.14617941176465,Underestimated,High (Q4)
Joe Worrall,Nott'ham Forest,DF,25.0,6000000.0,6.467958e+06,-467958.0,467958.0,7.799300000000001,Overestimated,Low (Q1)
Joel Ward,Crystal Palace,DF,32.0,2900000.0000000014,4.1771502e+06,-1277150.2499999986,1277150.2499999986,44.03966379310338,Overestimated,Low (Q1)
John Stones,Manchester City,DF,28.0,34499999.99999998,1.2205626e+07,22294373.999999978,22294373.999999978,64.62137391304346,Underestimated,High (Q4)
Jonny Castro,Wolves,DF,28.0,16000000.000000026,9.504554e+06,6495446.000000026,6495446.000000026,40.596537500000096,Underestimated,Medium-High (Q3)
João Cancelo,Manchester City,DF,28.0,82499999.99999975,1.0984461e+07,71515538.99999975,71515538.99999975,86.68550181818178,Underestimated,High (Q4)
Joël Matip,Liverpool,DF,30.0,34499999.99999998,1.0286404e+07,24213595.999999978,24213595.999999978,70.18433623188403,Underestimated,High (Q4)
Joël Veltman,Brighton,DF,30.0,11500000.000000019,4.1955915e+06,7304408.500000019,7304408.500000019,63.51659565217397,Underestimated,Medium-Low (Q2)
Kalidou Koulibaly,Chelsea,DF,31.0,54500000.00000007,1.0730579e+07,43769421.00000007,43769421.00000007,80.3108642201835,Underestimated,High (Q4)
Kenny Tete,Fulham,DF,26.0,4799999.999999999,6.429962e+06,-1629962.000000001,1629962.000000001,33.95754166666669,Overestimated,Low (Q1)
Kieran Tierney,Arsenal,DF,25.0,33000000.000000015,1.2926575e+07,20073425.000000015,20073425.000000015,60.82856060606062,Underestimated,High (Q4)
Kieran Trippier,Newcastle Utd,DF,31.0,30499999.999999948,1.2131587e+07,18368412.999999948,18368412.999999948,60.22430491803272,Underestimated,High (Q4)
Kostas Tsimikas,Liverpool,DF,26.0,12499999.999999985,1.8666818e+07,-6166818.000000015,6166818.000000015,49.33454400000018,Overestimated,Medium-Low (Q2)
Kristoffer Ajer,Brentford,DF,24.0,11500000.000000019,6.4385465e+06,5061453.500000019,5061453.500000019,44.01263913043487,Underestimated,Medium-Low (Q2)
Kurt Zouma,West Ham,DF,27.0,22500000.00000001,2.6448138e+07,-3948137.999999989,3948137.999999989,17.547279999999944,Overestimated,Medium-High (Q3)
Kyle Walker,Manchester City,DF,32.0,37500000.0,9.712686e+06,27787314.0,27787314.0,74.09950400000001,Underestimated,High (Q4)
Levi Colwill,Brighton,DF,19.0,3500000.0000000056,2.6274548e+06,872545.2500000056,872545.2500000056,24.929864285714405,Underestimated,Low (Q1)
Lewis Hall,Chelsea,DF,17.0,700000.0000000006,764441.2,-64441.18749999942,64441.18749999942,9.205883928571337,Overestimated,Low (Q1)
Lisandro Martínez,Manchester Utd,DF,24.0,35000000.000000015,1.3416871e+07,21583129.000000015,21583129.000000015,61.66608285714288,Underestimated,High (Q4)
Lucas Digne,Aston Villa,DF,29.0,27500000.000000015,5.254753e+06,22245247.000000015,22245247.000000015,80.89180727272728,Underestimated,Medium-High (Q3)
Lucas Moura,Tottenham,MF,29.0,20500000.000000022,1.4936515e+07,5563485.000000022,5563485.000000022,27.138951219512276,Underestimated,Medium-High (Q3)
Luke Shaw,Manchester Utd,DF,27.0,22500000.00000001,1.2044504e+07,10455496.000000011,10455496.000000011,46.468871111111135,Underestimated,Medium-High (Q3)
Mads Roerslev,Brentford,DF,23.0,2100000.0000000047,5.4900645e+06,-3390064.4999999953,3390064.4999999953,161.4316428571423,Overestimated,Low (Q1)
