,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
102,Pierre Højbjerg,1446,2019-2020,23,dk DEN,Southampton,eng Premier League,33,2752,30.6,30,3,1,0,1,1,0,0,0,0,1446,1870,77.3,30,159,27,7,219,25247,7081,647,764,84.7,621,787,78.9,141,235,60.0,MF,8b04d6c1
103,James Ward-Prowse,1444,2019-2020,24,eng ENG,Southampton,eng Premier League,38,3420,38.0,38,0,0,5,3,8,4,1,3,2,1444,1988,72.6,62,144,33,8,170,24974,7797,652,756,86.2,607,757,80.2,141,373,37.8,MFDF,3515d404
104,Dale Stephens,1440,2019-2020,30,eng ENG,Brighton,eng Premier League,33,2530,28.1,28,5,2,0,1,1,0,0,0,0,1440,1687,85.4,20,140,19,0,160,27512,7212,530,595,89.1,720,793,90.8,170,240,70.8,MF,653ee42d
105,Mateo Kovačić,1435,2023-2024,29,hr CRO,Manchester City,eng Premier League,30,1551,17.2,16,14,4,1,0,1,1,0,0,0,1435,1527,94.0,21,120,15,0,100,20506,4603,835,862,96.9,514,544,94.5,41,57,71.9,MF,79c0821a
106,Jean Seri,1427,2018-2019,27,ci CIV,Fulham,eng Premier League,32,2244,24.9,27,5,2,1,2,3,1,0,0,0,1427,1707,83.6,57,125,28,9,164,25102,7012,646,705,91.6,557,641,86.9,171,264,64.8,MF,10efd0e1
107,Wilfred Ndidi,1422,2019-2020,22,ng NGA,Leicester City,eng Premier League,32,2674,29.7,29,3,0,2,1,3,2,0,0,0,1422,1675,84.9,15,145,3,0,109,23593,5950,670,768,87.2,576,640,90.0,121,166,72.9,MF,6b47c5db
108,Ashley Westwood,1413,2019-2020,29,eng ENG,Burnley,eng Premier League,35,3150,35.0,35,0,0,2,6,8,2,0,0,0,1413,1902,74.3,54,172,33,10,177,25746,8166,588,668,88.0,576,706,81.6,191,417,45.8,MF,495945ef
109,Mattéo Guendouzi,1409,2018-2019,19,fr FRA,Arsenal,eng Premier League,33,2149,23.9,23,10,4,0,0,0,0,0,0,0,1409,1625,86.7,17,142,23,1,200,24166,6699,647,707,91.5,590,648,91.0,129,170,75.9,MF,5ea8ef20
110,Lucas Torreira,1405,2018-2019,22,uy URU,Arsenal,eng Premier League,34,2382,26.5,24,10,0,2,2,4,2,0,0,0,1405,1632,86.1,16,93,17,1,140,23340,6020,632,705,89.6,610,664,91.9,101,153,66.0,MF,52611641
111,Matt Doherty,1392,2019-2020,27,ie IRL,Wolves,eng Premier League,36,2839,31.5,32,4,1,4,3,7,4,0,0,0,1392,1854,75.1,21,83,24,7,158,20176,8073,817,961,85.0,428,597,71.7,83,148,56.1,MFDF,d557d734
112,Jorginho,1390,2022-2023,30,it ITA,2 Teams,eng Premier League,32,2134,23.7,24,8,7,2,1,3,0,2,2,0,1390,1620,85.8,12,171,21,0,179,22800,6539,658,732,89.9,606,682,88.9,92,135,68.1,MF,45db685d
113,Bruno Guimarães,1387,2022-2023,24,br BRA,Newcastle Utd,eng Premier League,32,2726,30.3,32,0,0,4,5,9,4,0,0,0,1387,1668,83.2,42,147,54,2,222,24038,6632,659,741,88.9,539,614,87.8,149,216,69.0,MF,82518f62
114,James Ward-Prowse,1386,2023-2024,28,eng ENG,West Ham,eng Premier League,37,3001,33.3,34,3,0,7,7,14,5,2,2,0,1386,1672,82.9,64,137,23,8,144,23288,7105,702,762,92.1,520,570,91.2,134,270,49.6,MF,3515d404
115,Granit Xhaka,1382,2022-2023,29,ch SUI,Arsenal,eng Premier League,37,2993,33.3,36,1,0,7,7,14,7,0,0,0,1382,1632,84.7,47,148,40,4,196,22642,5919,675,762,88.6,552,635,86.9,113,139,81.3,MF,e61b8aee
116,Fabinho,1381,2018-2019,24,br BRA,Liverpool,eng Premier League,28,2017,22.4,21,7,6,1,2,3,1,0,0,0,1381,1627,84.9,16,128,21,3,130,23150,6053,639,716,89.2,592,663,89.3,106,169,62.7,MF,7f3b388c
117,Fabinho,1381,2019-2020,25,br BRA,Liverpool,eng Premier League,28,2079,23.1,22,6,2,2,3,5,2,0,0,0,1381,1593,86.7,19,129,19,3,129,23882,5652,588,641,91.7,647,731,88.5,107,153,69.9,MF,7f3b388c
118,Oriol Romeu,1377,2021-2022,29,es ESP,Southampton,eng Premier League,36,2889,32.1,34,2,1,2,2,4,2,0,0,0,1377,1691,81.4,37,148,23,3,156,23235,6190,676,787,85.9,535,614,87.1,133,198,67.2,MF,4b511457
119,Sander Berge,1376,2023-2024,25,no NOR,Burnley,eng Premier League,37,3005,33.4,34,3,0,1,2,3,1,0,0,0,1376,1562,88.1,29,129,16,1,164,24429,5168,568,637,89.2,658,711,92.5,125,154,81.2,MF,d0b6129f
120,İlkay Gündoğan,1374,2022-2023,31,de GER,Manchester City,eng Premier League,31,2353,26.1,27,4,7,8,4,12,8,0,1,1,1374,1578,87.1,37,143,35,1,170,21396,4941,746,819,91.1,492,543,90.6,99,130,76.2,MF,819b3158
121,Martin Ødegaard,1368,2021-2022,22,no NOR,Arsenal,eng Premier League,36,2785,30.9,32,4,0,7,4,11,7,0,0,0,1368,1633,83.8,77,113,71,3,224,21846,5049,681,763,89.3,541,612,88.4,90,145,62.1,MFFW,79300479
122,Granit Xhaka,1367,2021-2022,28,ch SUI,Arsenal,eng Premier League,27,2327,25.9,27,0,0,1,2,3,1,0,0,0,1367,1589,86.0,32,194,41,7,230,23204,6399,634,713,88.9,594,667,89.1,109,150,72.7,MFDF,e61b8aee
123,Kenny McLean,1362,2019-2020,27,sct SCO,Norwich City,eng Premier League,37,2968,33.0,32,5,1,1,1,2,1,0,0,0,1362,1760,77.4,24,158,16,3,173,21339,7602,736,850,86.6,443,542,81.7,117,228,51.3,MF,471f16b3
124,Mateo Kovačić,1359,2018-2019,24,hr CRO,Chelsea,eng Premier League,32,1735,19.3,21,11,4,0,2,2,0,0,0,0,1359,1484,91.6,25,124,17,1,140,18642,4312,818,862,94.9,411,444,92.6,50,65,76.9,MF,79c0821a
125,Declan Rice,1352,2020-2021,21,eng ENG,West Ham,eng Premier League,32,2879,32.0,32,0,0,2,1,3,1,1,2,1,1352,1561,86.6,22,125,18,6,169,23571,6640,613,674,90.9,565,620,91.1,138,191,72.3,MF,1c7012b8
126,Fabinho,1350,2021-2022,27,br BRA,Liverpool,eng Premier League,29,2314,25.7,26,3,1,5,1,6,3,2,2,0,1350,1550,87.1,16,151,12,1,134,21821,5712,676,741,91.2,548,608,90.1,94,135,69.6,MF,7f3b388c
127,Jordan Henderson,1341,2022-2023,32,eng ENG,Liverpool,eng Premier League,35,2074,23.0,23,12,0,0,2,2,0,0,0,0,1341,1615,83.0,31,158,47,12,189,22431,5954,666,734,90.7,513,594,86.4,122,193,63.2,MF,935e6b8f
128,Thiago Alcántara,1340,2021-2022,30,es ESP,Liverpool,eng Premier League,25,1534,17.0,17,8,1,1,4,5,1,0,0,0,1340,1508,88.9,29,211,26,1,214,24737,7150,573,624,91.8,594,640,92.8,150,190,78.9,MF,77e84962
129,Christian Nørgaard,1337,2021-2022,27,dk DEN,Brentford,eng Premier League,35,3054,33.9,35,0,0,3,4,7,3,0,0,0,1337,1685,79.3,29,149,24,3,169,21669,6947,667,789,84.5,543,651,83.4,87,145,60.0,MF,df0a4c90
130,David Silva,1332,2019-2020,33,es ESP,Manchester City,eng Premier League,27,1826,20.3,22,5,6,6,10,16,6,0,0,0,1332,1527,87.2,48,89,51,1,203,18239,3835,789,859,91.9,425,478,88.9,43,57,75.4,MF,e2716bd0
131,Felipe Anderson,1325,2018-2019,25,br BRA,West Ham,eng Premier League,36,3043,33.8,36,0,0,9,4,13,9,0,0,0,1325,1824,72.6,64,111,85,12,191,20473,6459,703,832,84.5,378,506,74.7,130,241,53.9,MFFW,9f1893b9
