,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
937,Chem Campbell,2,2022-2023,19,wls WAL,Wolves,eng Premier League,5,74,0.8,0,5,9,0,0,0,0,0,0,0,2,0.00,,0,0.0,11.3,0,FWMF,6f711f67
938,Ivan Perišić,2,2023-2024,34,hr CRO,Tottenham,eng Premier League,5,103,1.1,0,5,0,0,1,1,0,0,0,0,2,0.00,,0,0.0,13.0,0,FW,6fe90922
939,Romain Faivre,2,2023-2024,25,fr FRA,Bournemouth,eng Premier League,5,41,0.5,0,5,8,0,0,0,0,0,0,0,2,0.00,,0,0.0,17.0,0,MFFW,745ca0a3
940,Bryan Gil,2,2022-2023,21,es ESP,Tottenham,eng Premier League,4,148,1.6,2,2,12,0,1,1,0,0,0,0,2,0.00,0.00,1,50.0,19.4,0,MFFW,7b5ab7f2
941,Troy Deeney,2,2021-2022,33,eng ENG,Watford,eng Premier League,2,25,0.3,0,2,0,0,0,0,0,0,0,0,2,0.00,,0,0.0,12.7,0,FW,82e34b69
942,Shane Long,2,2020-2021,33,ie IRL,Southampton,eng Premier League,11,210,2.3,1,10,7,0,0,0,0,0,0,0,2,0.00,0.00,1,50.0,21.3,0,FW,9f472354
943,Leon Chiwome,2,2023-2024,17,eng ENG,Wolves,eng Premier League,3,174,1.9,2,1,1,0,0,0,0,0,0,0,2,0.00,,0,0.0,11.2,0,FW,a2852b4f
944,Joe Willock,2,2018-2019,18,eng ENG,Arsenal,eng Premier League,2,64,0.7,1,1,4,0,0,0,0,0,0,0,2,0.00,,0,0.0,17.4,0,MFFW,a3b03921
945,Sam Surridge,2,2018-2019,20,eng ENG,Bournemouth,eng Premier League,2,13,0.1,0,2,8,0,0,0,0,0,0,0,2,0.00,0.00,1,50.0,13.3,0,MFFW,b017b770
946,Sam Surridge,2,2019-2020,21,eng ENG,Bournemouth,eng Premier League,4,27,0.3,0,4,8,0,0,0,0,0,0,0,2,0.00,,0,0.0,11.9,0,FWMF,b017b770
947,Jay Stansfield,2,2022-2023,19,eng ENG,Fulham,eng Premier League,3,87,1.0,1,2,2,0,0,0,0,0,0,0,2,0.00,,0,0.0,13.9,0,FW,b2626673
948,Marc Albrighton,2,2022-2023,32,eng ENG,Leicester City,eng Premier League,6,237,2.6,1,5,13,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,8.0,0,FWMF,b827d5b3
949,Michael Obafemi,2,2023-2024,23,ie IRL,Burnley,eng Premier League,2,20,0.2,0,2,4,0,0,0,0,0,0,0,2,0.00,,0,0.0,19.8,0,FWMF,caa1a7f0
950,Henrikh Mkhitaryan,2,2019-2020,30,am ARM,Arsenal,eng Premier League,3,112,1.2,1,2,1,0,0,0,0,0,0,0,2,0.00,,0,0.0,13.5,0,FW,dd0daf32
951,Crysencio Summerville,2,2021-2022,19,nl NED,Leeds United,eng Premier League,6,130,1.4,0,6,19,0,0,0,0,0,0,0,2,0.00,,0,0.0,12.7,0,MFFW,df04eb4b
952,Jaidon Anthony,2,2023-2024,23,eng ENG,Bournemouth,eng Premier League,3,152,1.7,2,1,0,0,0,0,0,0,0,0,2,0.00,0.00,1,50.0,24.5,0,FW,e4238fb1
953,Dwight Gayle,2,2021-2022,30,eng ENG,Newcastle Utd,eng Premier League,8,38,0.4,0,8,28,0,0,0,0,0,0,0,2,0.00,,0,0.0,7.3,0,FWDF,e58a03c6
954,Jonathan Kodjia,2,2019-2020,29,ci CIV,Aston Villa,eng Premier League,6,117,1.3,0,6,6,0,0,0,0,0,0,0,2,0.00,,0,0.0,19.5,0,FW,ecf44e09
955,Ashley Fletcher,2,2021-2022,25,eng ENG,Watford,eng Premier League,3,30,0.3,0,3,14,0,0,0,0,0,0,0,2,0.00,0.00,1,50.0,17.6,0,FW,eeb6551f
956,Pape Matar Sarr,2,2022-2023,19,sn SEN,Tottenham,eng Premier League,11,218,2.4,2,9,15,0,1,1,0,0,0,0,2,0.00,,0,0.0,27.3,0,MFFW,feb5d972
957,Indiana Vassilev,1,2019-2020,18,us USA,Aston Villa,eng Premier League,4,51,0.6,0,4,8,0,0,0,0,0,0,0,1,0.00,,0,0.0,21.9,0,FWMF,04e195ee
958,Cameron Archer,1,2021-2022,20,eng ENG,Aston Villa,eng Premier League,3,27,0.3,0,3,9,0,0,0,0,0,0,0,1,0.00,,0,0.0,12.6,0,FWMF,05e8ca6d
959,Rhys Healey,1,2018-2019,23,wls WAL,Cardiff City,eng Premier League,3,52,0.6,0,3,5,0,0,0,0,0,0,0,1,0.00,,0,0.0,20.4,0,FW,07ace8c3
960,Sergi Canós,1,2022-2023,25,es ESP,Brentford,eng Premier League,5,77,0.9,0,5,7,0,0,0,0,0,0,0,1,0.00,,0,0.0,16.1,0,FWDF,1137759d
961,George Earthy,1,2023-2024,18,eng ENG,West Ham,eng Premier League,3,34,0.4,0,3,6,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,3.8,0,FW,123d2733
962,Sasa Kalajdzic,1,2022-2023,25,at AUT,Wolves,eng Premier League,1,45,0.5,1,0,0,0,0,0,0,0,0,0,1,0.00,,0,0.0,4.4,0,FW,15f24fe7
963,Neeskens Kebano,1,2018-2019,26,cd COD,Fulham,eng Premier League,7,108,1.2,0,7,14,0,0,0,0,0,0,0,1,0.00,,0,0.0,8.0,0,FWMF,18b999f4
964,Kaide Gordon,1,2021-2022,16,eng ENG,Liverpool,eng Premier League,1,9,0.1,0,1,3,0,0,0,0,0,0,0,1,0.00,0.00,1,100.0,19.7,0,FW,19a9cb70
965,Omari Forson,1,2023-2024,19,eng ENG,Manchester Utd,eng Premier League,4,70,0.8,1,3,9,0,1,1,0,0,0,0,1,0.00,,0,0.0,21.6,0,FW,1b9728b0
966,Tahith Chong,1,2019-2020,19,cw CUW,Manchester Utd,eng Premier League,3,37,0.4,0,3,4,0,0,0,0,0,0,0,1,0.00,,0,0.0,14.1,0,FWDF,2696b6a9
967,Dan Nlundulu,1,2020-2021,21,eng ENG,Southampton,eng Premier League,13,111,1.2,0,13,16,0,0,0,0,0,0,0,1,0.00,,0,0.0,12.4,0,FWMF,30040f5d
968,Tony Springett,1,2021-2022,18,ie IRL,Norwich City,eng Premier League,3,141,1.6,1,2,3,0,0,0,0,0,0,0,1,0.00,0.00,1,100.0,12.9,0,MFFW,35be8087
969,Ross Barkley,1,2020-2021,26,eng ENG,Chelsea,eng Premier League,2,42,0.5,0,2,1,0,0,0,0,0,0,0,1,0.00,0.00,1,100.0,35.9,0,FWMF,3a24769f
970,Trézéguet,1,2021-2022,26,eg EGY,Aston Villa,eng Premier League,1,11,0.1,0,1,3,0,0,0,0,0,0,0,1,0.00,,0,0.0,22.0,0,FW,3ae14ed1
971,Moise Kean,1,2020-2021,20,it ITA,Everton,eng Premier League,2,15,0.2,0,2,1,0,0,0,0,0,0,0,1,0.00,,0,0.0,25.8,0,FWMF,3d50bcdb
972,Josh Martin,1,2019-2020,17,eng ENG,Norwich City,eng Premier League,5,37,0.4,0,5,3,0,0,0,0,0,0,0,1,0.00,0.00,1,100.0,13.0,0,FWMF,3f072a68
973,Domingos Quina,1,2019-2020,19,pt POR,Watford,eng Premier League,4,22,0.2,0,4,12,0,0,0,0,0,0,0,1,0.00,0.00,1,100.0,27.3,0,MFFW,41fb0f4e
974,Demarai Gray,1,2020-2021,24,jm JAM,Leicester City,eng Premier League,1,19,0.2,0,1,0,0,0,0,0,0,0,0,1,0.00,,0,0.0,29.7,1,FW,4468ec10
975,Thomas Cannon,1,2022-2023,19,ie IRL,Everton,eng Premier League,2,25,0.3,0,2,0,0,0,0,0,0,0,0,1,0.00,0.00,1,100.0,10.8,0,FW,4506aec5
976,Benicio Boaitey,1,2023-2024,19,eng ENG,Brighton,eng Premier League,5,40,0.4,0,5,9,0,0,0,0,0,0,0,1,0.00,,0,0.0,25.2,0,FWDF,4c5835e6
977,Yoshinori Mutō,1,2019-2020,27,jp JPN,Newcastle Utd,eng Premier League,8,212,2.4,2,6,9,0,0,0,0,0,0,0,1,0.00,,0,0.0,10.0,0,MFFW,5343eb4e
978,Darko Gyabi,1,2022-2023,18,eng ENG,Leeds United,eng Premier League,1,8,0.1,0,1,12,0,0,0,0,0,0,0,1,0.00,,0,0.0,17.8,0,FW,56d838f7
979,William Smallbone,1,2021-2022,21,ie IRL,Southampton,eng Premier League,4,133,1.5,2,2,12,0,0,0,0,0,0,0,1,0.00,,0,0.0,17.6,0,MFFW,5e105217
980,Josh Dasilva,1,2021-2022,22,eng ENG,Brentford,eng Premier League,9,257,2.9,2,7,1,0,0,0,0,0,0,0,1,0.00,,0,0.0,13.2,0,MFFW,60344e4f
981,Ryan Sessegnon,1,2019-2020,19,eng ENG,Tottenham,eng Premier League,6,342,3.8,4,2,13,0,0,0,0,0,0,0,1,0.00,,0,0.0,17.0,0,DFFW,6aa3e78b
982,Mateo Joseph,1,2022-2023,18,es ESP,Leeds United,eng Premier League,3,26,0.3,0,3,5,0,0,0,0,0,0,0,1,0.00,0.00,1,100.0,15.4,0,FWMF,6ad43f9a
983,Jürgen Locadia,1,2021-2022,27,cw CUW,Brighton,eng Premier League,1,23,0.3,0,1,8,0,0,0,0,0,0,0,1,0.00,,0,0.0,20.2,0,MFFW,6cc47ae1
984,Shane Duffy,1,2022-2023,30,ie IRL,Fulham,eng Premier League,5,20,0.2,0,5,25,0,0,0,0,0,0,0,1,0.00,,0,0.0,6.1,0,DFFW,7314bba4
985,Georges-Kévin N'Koudou,1,2019-2020,24,cm CMR,Tottenham,eng Premier League,1,3,0.0,0,1,0,0,0,0,0,0,0,0,1,0.00,,0,0.0,17.7,0,FW,76c131da
986,Bénie Traoré,1,2023-2024,20,ci CIV,Sheffield Utd,eng Premier League,8,387,4.3,3,5,11,0,0,0,0,0,0,0,1,0.00,0.00,1,100.0,15.3,0,FWMF,77816c91
987,Jaïro Riedewald,1,2023-2024,26,nl NED,Crystal Palace,eng Premier League,9,235,2.6,2,7,20,0,0,0,0,0,0,0,1,0.00,,0,0.0,14.5,0,MFFW,7a1f2c08
988,Bryan Gil,1,2021-2022,20,es ESP,Tottenham,eng Premier League,9,94,1.0,0,9,7,0,0,0,0,0,0,0,1,0.00,0.00,1,100.0,15.6,0,FWMF,7b5ab7f2
989,Leon Clarke,1,2019-2020,34,eng ENG,Sheffield Utd,eng Premier League,2,35,0.4,0,2,2,0,0,0,0,0,0,0,1,0.00,,0,0.0,9.6,0,FWMF,91c975a0
990,Divin Mubama,1,2023-2024,18,eng ENG,West Ham,eng Premier League,5,80,0.9,0,5,26,0,0,0,0,0,0,0,1,0.00,,0,0.0,12.5,0,FW,92868cb5
991,Deivid Washington,1,2023-2024,18,br BRA,Chelsea,eng Premier League,2,13,0.1,0,2,17,0,0,0,0,0,0,0,1,0.00,,0,0.0,9.0,0,DFFW,95bd120d
992,James Mcatee,1,2021-2022,18,eng ENG,Manchester City,eng Premier League,2,20,0.2,0,2,11,0,0,0,0,0,0,0,1,0.00,,0,0.0,10.7,0,MFFW,96593e89
993,Djed Spence,1,2022-2023,21,eng ENG,Tottenham,eng Premier League,4,7,0.1,0,4,8,0,0,0,0,0,0,0,1,0.00,,0,0.0,8.9,0,FWDF,9bc9a519
994,Amad Diallo,1,2020-2021,18,ci CIV,Manchester Utd,eng Premier League,3,166,1.8,2,1,8,0,1,1,0,0,0,0,1,0.00,0.00,1,100.0,25.7,0,FW,9dc96f10
995,Mark O'Mahony,1,2023-2024,18,ie IRL,Brighton,eng Premier League,3,63,0.7,1,2,8,0,0,0,0,0,0,0,1,0.00,,0,0.0,16.8,0,FW,a3afdd69
996,Patrick Cutrone,1,2020-2021,22,it ITA,Wolves,eng Premier League,2,25,0.3,0,2,1,0,0,0,0,0,0,0,1,0.00,,0,0.0,10.2,0,FW,a4fe8cda
997,Omari Kellyman,1,2023-2024,17,eng ENG,Aston Villa,eng Premier League,2,37,0.4,0,2,10,0,0,0,0,0,0,0,1,0.00,,0,0.0,20.8,0,FW,aa888da7
998,Faustino Anjorin,1,2019-2020,17,eng ENG,Chelsea,eng Premier League,1,20,0.2,0,1,0,0,0,0,0,0,0,0,1,0.00,,0,0.0,31.8,0,FW,b105919e
999,Carney Chukwuemeka,1,2020-2021,16,eng ENG,Aston Villa,eng Premier League,2,20,0.2,0,2,5,0,0,0,0,0,0,0,1,0.00,,0,0.0,23.5,0,MFFW,b2f9c73e
1000,Wesley Moraes,1,2020-2021,23,br BRA,Aston Villa,eng Premier League,3,18,0.2,0,3,4,0,0,0,0,0,0,0,1,0.00,0.00,1,100.0,12.6,0,FW,bfae110f
