,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
121,Ryan Bertrand,60,2020-2021,30,eng ENG,Southampton,eng Premier League,29,2598,28.9,29,0,0,0,1,1,0,0,0,0,60,32,26,27,7,30,48,62.5,18,19,1,18,30,90,41,1,DF,01226327
122,Çağlar Söyüncü,60,2019-2020,23,tr TUR,Leicester City,eng Premier League,34,3036,33.7,34,0,1,1,1,2,1,0,0,0,60,40,41,18,1,27,46,58.7,19,35,19,16,43,103,156,1,DF,21166ff4
123,Ben White,60,2022-2023,24,eng ENG,Arsenal,eng Premier League,38,3055,33.9,36,2,0,2,5,7,2,0,0,0,60,31,23,30,7,42,70,60.0,28,47,11,36,22,82,79,1,DF,35e413f1
124,Wilfred Ndidi,60,2021-2022,24,ng NGA,Leicester City,eng Premier League,19,1618,18.0,18,1,2,0,0,0,0,0,0,0,60,32,32,27,1,22,55,40.0,33,36,8,28,42,102,54,1,MFDF,6b47c5db
125,Dan Burn,60,2022-2023,30,eng ENG,Newcastle Utd,eng Premier League,38,3111,34.6,35,3,0,1,0,1,1,0,0,0,60,38,29,23,8,34,67,50.7,33,42,16,26,32,92,120,2,DF,b2d31e83
126,Fabian Schär,60,2018-2019,26,ch SUI,Newcastle Utd,eng Premier League,24,1999,22.2,22,2,7,4,1,5,4,0,0,0,60,39,37,19,4,24,50,48.0,26,40,16,24,67,127,145,2,DF,c8aa95da
127,Enda Stevens,59,2020-2021,30,ie IRL,Sheffield Utd,eng Premier League,30,2700,30.0,30,0,0,0,1,1,0,0,0,0,59,26,32,19,8,33,58,56.9,25,41,12,29,22,81,81,1,DF,17d4507a
128,Illia Zabarnyi,59,2023-2024,20,ua UKR,Bournemouth,eng Premier League,37,3330,37.0,37,0,0,1,0,1,1,0,0,0,59,32,29,29,1,23,50,46.0,27,53,34,19,33,92,143,4,DF,88968486
129,Pascal Groß,59,2022-2023,31,de GER,Brighton,eng Premier League,37,3239,36.0,37,0,0,9,8,17,9,0,0,0,59,38,23,27,9,25,55,45.5,30,32,10,22,13,72,21,1,MFDF,8aec0537
130,Ryan Bennett,58,2018-2019,28,eng ENG,Wolves,eng Premier League,34,3060,34.0,34,0,2,1,0,1,1,0,0,0,58,32,41,16,1,25,41,61.0,16,42,21,21,43,101,131,1,DF,0bad4516
131,Vitaliy Mykolenko,58,2022-2023,23,ua UKR,Everton,eng Premier League,34,2655,29.5,30,4,0,0,0,0,0,0,0,0,58,34,36,19,3,28,51,54.9,23,50,16,34,46,104,99,0,DF,30d4a2e5
132,Sergio Reguilón,58,2023-2024,26,es ESP,2 Teams,eng Premier League,25,1530,17.0,18,7,5,0,4,4,0,0,0,0,58,28,32,20,6,32,57,56.1,25,33,6,27,21,79,48,1,DF,3353737a
133,Martín Montoya,58,2018-2019,27,es ESP,Brighton,eng Premier League,25,2167,24.1,24,1,0,0,1,1,0,0,0,0,58,35,29,21,8,32,55,58.2,23,30,10,20,48,106,76,1,DF,5cec2487
134,Fabinho,58,2020-2021,26,br BRA,Liverpool,eng Premier League,30,2567,28.5,28,2,0,0,0,0,0,0,0,0,58,31,21,29,8,27,54,50.0,27,28,10,18,44,102,66,1,DFMF,7f3b388c
135,Cheikhou Kouyaté,58,2020-2021,30,sn SEN,Crystal Palace,eng Premier League,36,3121,34.7,35,1,1,1,0,1,1,0,0,0,58,37,44,12,2,25,43,58.1,18,42,26,16,32,90,125,2,DF,8d3c902d
136,Nélson Semedo,58,2021-2022,27,pt POR,Wolves,eng Premier League,25,2131,23.7,25,0,4,0,1,1,0,0,0,0,58,39,39,17,2,25,49,51.0,24,23,4,19,21,79,64,1,MFDF,d04b94db
137,Vladimír Coufal,58,2022-2023,29,cz CZE,West Ham,eng Premier League,27,2136,23.7,24,3,7,0,1,1,0,0,0,0,58,31,37,15,6,36,51,70.6,15,24,6,18,38,96,70,0,DF,fdf3cb77
138,Ethan Ampadu,57,2020-2021,19,wls WAL,Sheffield Utd,eng Premier League,25,2089,23.2,23,2,4,0,0,0,0,0,0,0,57,36,31,24,2,20,46,43.5,26,40,19,21,49,106,87,3,DFMF,10b9fa99
139,Kieran Trippier,57,2023-2024,32,eng ENG,Newcastle Utd,eng Premier League,28,2236,24.8,26,2,0,1,10,11,1,0,0,0,57,27,30,16,11,37,77,48.1,40,41,8,33,24,81,57,3,DF,21512407
140,Arthur Masuaku,57,2018-2019,24,cd COD,West Ham,eng Premier League,23,1759,19.5,19,4,12,0,1,1,0,0,0,0,57,25,38,13,6,31,56,55.4,25,27,6,21,36,93,72,0,DF,57df7a11
141,Martín Montoya,57,2019-2020,28,es ESP,Brighton,eng Premier League,27,1896,21.1,23,4,7,0,1,1,0,0,0,0,57,29,31,20,6,30,56,53.6,26,19,5,14,24,81,40,0,DFMF,5cec2487
142,Rico Henry,57,2022-2023,25,jm JAM,Brentford,eng Premier League,37,3238,36.0,37,0,0,0,2,2,0,0,0,0,57,31,20,28,9,22,41,53.7,19,29,8,21,30,87,84,1,DF,8a3c1dc7
143,Kyle Walker-Peters,57,2021-2022,24,eng ENG,Southampton,eng Premier League,32,2633,29.3,29,3,5,1,2,3,1,0,0,0,57,33,28,21,8,26,38,68.4,12,29,8,21,37,94,53,1,DF,984a5a64
144,Willy Boly,57,2019-2020,28,ci CIV,Wolves,eng Premier League,22,1979,22.0,22,0,1,0,1,1,0,0,0,0,57,33,36,21,0,25,43,58.1,18,28,11,17,39,96,108,3,DF,a4ac4b8f
145,Trent Alexander-Arnold,57,2022-2023,23,eng ENG,Liverpool,eng Premier League,37,2923,32.5,34,3,1,2,9,11,2,0,0,0,57,40,32,16,9,42,80,52.5,38,25,7,18,43,100,41,2,DF,cd1acf9d
146,Sergi Canós,56,2021-2022,24,es ESP,Brentford,eng Premier League,31,2083,23.1,25,6,2,3,2,5,3,0,0,0,56,25,32,15,9,33,60,55.0,27,32,3,29,22,78,38,0,DFFW,1137759d
147,Maxime Le Marchand,56,2018-2019,28,fr FRA,Fulham,eng Premier League,26,2250,25.0,25,1,8,0,1,1,0,0,0,0,56,36,45,11,0,23,47,48.9,24,30,16,14,54,110,129,2,DF,321a71a7
148,Ben Davies,56,2018-2019,25,wls WAL,Tottenham,eng Premier League,27,1844,20.5,20,7,7,0,0,0,0,0,0,0,56,30,39,13,4,38,54,70.4,16,23,10,13,23,79,68,1,DF,44781702
149,Matthew Lowton,56,2018-2019,29,eng ENG,Burnley,eng Premier League,21,1750,19.4,19,2,14,0,0,0,0,0,0,0,56,35,21,31,4,32,60,53.3,28,29,7,22,30,86,80,1,DF,9a9c05db
150,Wout Faes,56,2022-2023,24,be BEL,Leicester City,eng Premier League,31,2786,31.0,31,0,0,1,2,3,1,0,0,0,56,33,28,26,2,28,44,63.6,16,53,37,16,41,97,113,2,DF,9c221d14
151,Trent Alexander-Arnold,56,2020-2021,21,eng ENG,Liverpool,eng Premier League,36,3031,33.7,34,2,0,2,7,9,2,0,0,0,56,33,31,18,7,36,56,64.3,20,24,3,21,49,105,50,3,DF,cd1acf9d
152,Mason Holgate,56,2020-2021,23,jm JAM,Everton,eng Premier League,28,2287,25.4,26,2,3,1,0,1,1,0,0,0,56,36,31,18,7,20,50,40.0,30,37,13,24,35,91,90,3,DF,d0042ab9
153,Joachim Andersen,56,2023-2024,27,dk DEN,Crystal Palace,eng Premier League,38,3415,37.9,38,0,0,2,3,5,2,0,0,0,56,35,33,21,2,29,39,74.4,10,33,18,15,41,97,207,1,DF,e34fc66d
154,Reece James,55,2020-2021,20,eng ENG,Chelsea,eng Premier League,32,2373,26.4,25,7,3,1,2,3,1,0,0,0,55,35,24,22,9,21,44,47.7,23,36,7,29,17,72,52,0,DF,1265a93a
155,Matty Cash,55,2022-2023,24,pl POL,Aston Villa,eng Premier League,26,1820,20.2,20,6,1,0,1,1,0,0,0,0,55,32,36,15,4,26,37,70.3,11,20,5,15,26,81,43,0,DF,2389cdc2
156,Marcos Senesi,55,2023-2024,26,ar ARG,Bournemouth,eng Premier League,31,2242,24.9,26,5,1,4,5,9,4,0,0,0,55,32,28,23,4,24,56,42.9,32,50,23,27,35,90,109,1,DF,35141f4c
157,Joško Gvardiol,55,2023-2024,21,hr CRO,Manchester City,eng Premier League,28,2328,25.9,26,2,7,4,1,5,4,0,0,0,55,33,21,24,10,21,38,55.3,17,36,12,24,27,82,37,3,DF,5ad50391
158,Serge Aurier,55,2020-2021,27,ci CIV,Tottenham,eng Premier League,19,1605,17.8,19,0,6,2,3,5,2,0,0,0,55,33,33,17,5,15,40,37.5,25,28,5,23,19,74,44,3,DF,5c2b4f07
159,Brandon Williams,55,2021-2022,20,eng ENG,2 Teams,eng Premier League,26,2120,23.6,23,3,7,0,1,1,0,0,0,0,55,37,35,18,2,36,64,56.3,28,26,6,20,44,99,50,0,DF,5e74d6c8
160,Daniel Muñoz,55,2023-2024,27,co COL,Crystal Palace,eng Premier League,16,1439,16.0,16,0,0,0,4,4,0,0,0,0,55,35,31,14,10,19,38,50.0,19,29,7,22,24,79,47,0,DFMF,778ef829
161,Ben Mee,55,2018-2019,28,eng ENG,Burnley,eng Premier League,38,3420,38.0,38,0,0,0,2,2,0,0,0,0,55,24,38,17,0,35,44,79.5,9,59,50,9,48,103,235,4,DF,8df7a2fb
162,Luke Shaw,55,2018-2019,23,eng ENG,Manchester Utd,eng Premier League,29,2591,28.8,29,0,0,1,4,5,1,0,0,0,55,29,17,31,7,28,47,59.6,19,42,12,30,21,76,93,2,DF,9c94165b
163,Luke Shaw,55,2022-2023,27,eng ENG,Manchester Utd,eng Premier League,31,2552,28.4,30,1,4,1,2,3,1,0,0,0,55,36,31,22,2,32,46,69.6,14,51,17,34,36,91,55,2,DF,9c94165b
164,Ben Godfrey,55,2020-2021,22,eng ENG,Everton,eng Premier League,31,2685,29.8,29,2,2,0,2,2,0,0,0,0,55,33,37,15,3,27,41,65.9,14,56,37,19,33,88,120,0,DF,9f7c837d
165,Romain Saïss,55,2019-2020,29,ma MAR,Wolves,eng Premier League,33,2705,30.1,31,2,2,2,1,3,2,0,0,0,55,38,37,15,3,32,46,69.6,14,31,16,15,55,110,127,3,DF,9fbbcf39
166,Charlie Taylor,55,2018-2019,24,eng ENG,Burnley,eng Premier League,38,3243,36.0,35,3,0,0,1,1,0,0,0,0,55,26,37,15,3,24,50,48.0,26,74,35,39,40,95,120,0,DF,cc2d7ad5
167,Trent Alexander-Arnold,55,2019-2020,20,eng ENG,Liverpool,eng Premier League,38,3175,35.3,35,3,0,4,13,17,4,0,0,0,55,34,35,17,3,36,78,46.2,42,27,9,18,45,100,84,3,DF,cd1acf9d
168,Ben Chilwell,55,2018-2019,21,eng ENG,Leicester City,eng Premier League,36,3240,36.0,36,0,0,0,4,4,0,0,0,0,55,29,34,18,3,24,55,43.6,31,37,7,30,38,93,156,0,DF,d2424d1b
169,Matt Doherty,55,2019-2020,27,ie IRL,Wolves,eng Premier League,36,2839,31.5,32,4,1,4,3,7,4,0,0,0,55,29,34,17,4,27,41,65.9,14,34,4,30,40,95,52,1,MFDF,d557d734
170,Malo Gusto,55,2023-2024,20,fr FRA,Chelsea,eng Premier League,27,1751,19.5,19,8,1,0,6,6,0,0,0,0,55,27,34,15,6,35,52,67.3,17,28,4,24,17,72,43,1,DF,d56b9520
171,Diogo Dalot,55,2021-2022,22,pt POR,Manchester Utd,eng Premier League,24,1801,20.0,19,5,13,0,0,0,0,0,0,0,55,41,35,12,8,31,57,54.4,26,24,13,11,29,84,59,0,DF,d9565625
172,Ezri Konsa,54,2023-2024,25,eng ENG,Aston Villa,eng Premier League,35,3069,34.1,35,0,0,1,0,1,1,0,0,0,54,32,28,23,3,23,27,85.2,4,36,20,16,28,82,73,3,DF,0313a347
173,Erik Pieters,54,2019-2020,30,nl NED,Burnley,eng Premier League,24,1878,20.9,21,3,12,0,4,4,0,0,0,0,54,32,18,29,7,28,69,40.6,41,30,4,26,28,82,60,1,DFMF,1ef37668
174,Matty Cash,54,2023-2024,25,pl POL,Aston Villa,eng Premier League,29,2142,23.8,23,6,2,2,2,4,2,0,0,0,54,31,24,24,6,29,59,49.2,30,35,14,21,18,72,59,0,DF,2389cdc2
175,Andrew Robertson,54,2019-2020,25,sct SCO,Liverpool,eng Premier League,36,3111,34.6,34,2,0,2,12,14,2,0,0,0,54,31,17,25,12,27,61,44.3,34,29,7,22,38,92,72,1,DF,2e4f5f03
176,Leander Dendoncker,54,2020-2021,25,be BEL,Wolves,eng Premier League,33,2503,27.8,28,5,1,1,0,1,1,0,0,0,54,29,29,22,3,31,60,51.7,29,38,15,23,27,81,52,2,MFDF,5a7301ae
177,Romain Perraud,54,2022-2023,24,fr FRA,Southampton,eng Premier League,29,1835,20.4,22,7,2,2,2,4,2,0,0,0,54,33,23,23,8,28,52,53.8,24,24,6,18,20,74,42,0,DF,6dfd8f05
178,Vitaly Janelt,54,2022-2023,24,de GER,Brentford,eng Premier League,35,2208,24.5,24,11,0,3,1,4,3,0,0,0,54,27,20,24,10,21,49,42.9,28,29,9,20,29,83,26,0,MFDF,8449d35e
179,Teden Mengi,54,2023-2024,21,eng ENG,Luton Town,eng Premier League,30,2469,27.4,28,2,3,1,0,1,1,0,0,0,54,22,33,20,1,19,30,63.3,11,39,27,12,57,111,140,1,DF,91748070
180,Matthew Lowton,54,2020-2021,31,eng ENG,Burnley,eng Premier League,34,3060,34.0,34,0,2,1,1,2,1,0,0,0,54,32,31,22,1,32,73,43.8,41,36,13,23,56,110,91,1,DF,9a9c05db
181,DeAndre Yedlin,54,2018-2019,25,us USA,Newcastle Utd,eng Premier League,29,2473,27.5,28,1,5,1,2,3,1,0,0,0,54,32,36,14,4,19,41,46.3,22,36,10,26,28,82,88,0,DF,ae0a7ddf
182,Valentino Livramento,54,2021-2022,18,eng ENG,Southampton,eng Premier League,28,2202,24.5,25,3,0,1,1,2,1,0,0,0,54,28,30,18,6,27,45,60.0,18,23,9,14,47,101,50,1,DF,afed6722
183,Lisandro Martínez,54,2022-2023,24,ar ARG,Manchester Utd,eng Premier League,27,2114,23.5,24,3,0,1,0,1,1,0,0,0,54,28,33,18,3,30,43,69.8,13,51,27,24,33,87,103,0,DF,bac46a10
184,Diogo Dalot,54,2022-2023,23,pt POR,Manchester Utd,eng Premier League,26,2154,23.9,24,2,6,1,2,3,1,0,0,0,54,41,40,13,1,33,45,73.3,12,25,7,18,37,91,55,2,DF,d9565625
185,Joël Veltman,54,2023-2024,31,nl NED,Brighton,eng Premier League,27,1588,17.6,17,10,2,1,1,2,1,0,0,0,54,41,32,17,5,39,58,67.2,19,17,7,10,18,72,57,1,DF,dad4b285
186,Emerson,54,2022-2023,23,br BRA,Tottenham,eng Premier League,26,1735,19.3,20,6,2,2,1,3,2,0,0,0,54,33,38,12,4,27,40,67.5,13,17,3,14,18,72,75,0,DF,df8b52a5
187,Jannik Vestergaard,53,2018-2019,25,dk DEN,Southampton,eng Premier League,23,2027,22.5,23,0,7,0,0,0,0,0,0,0,53,33,37,13,3,28,45,62.2,17,35,20,15,35,88,174,1,DF,1900032e
188,Hassane Kamara,53,2021-2022,27,ci CIV,Watford,eng Premier League,19,1623,18.0,18,1,0,1,0,1,1,0,0,0,53,34,31,16,6,27,43,62.8,16,20,4,16,69,122,67,0,DF,19a12bed
189,César Azpilicueta,53,2020-2021,30,es ESP,Chelsea,eng Premier League,26,2188,24.3,24,2,12,1,2,3,1,0,0,0,53,28,22,24,7,19,37,51.4,18,30,5,25,28,81,62,2,DF,53cad200
190,Cédric Soares,53,2019-2020,27,pt POR,2 Teams,eng Premier League,21,1555,17.3,19,2,4,1,1,2,1,0,0,0,53,32,21,30,2,26,44,59.1,18,21,4,17,22,75,55,0,MFDF,839c14e1
191,Joe Worrall,53,2022-2023,25,eng ENG,Nott'ham Forest,eng Premier League,30,2224,24.7,21,9,8,1,0,1,1,0,0,0,53,25,39,12,2,25,35,71.4,10,33,23,10,26,79,111,1,DF,a5212312
192,Solly March,53,2022-2023,28,eng ENG,Brighton,eng Premier League,33,2715,30.2,31,2,0,7,7,14,7,0,0,0,53,31,16,17,20,8,28,28.6,20,34,3,31,24,77,32,0,FWDF,bb5fbd2b
193,Diego Llorente,53,2021-2022,27,es ESP,Leeds United,eng Premier League,28,2340,26.0,28,0,2,3,0,3,3,0,0,0,53,31,32,19,2,33,47,70.2,14,35,17,18,40,93,77,2,DF,bba30585
194,Ashley Young,53,2023-2024,38,eng ENG,Everton,eng Premier League,31,2280,25.3,27,4,1,0,0,0,0,0,0,0,53,38,28,19,6,30,54,55.6,24,24,6,18,22,75,50,3,DFMF,be927d03
195,Robin Koch,53,2022-2023,26,de GER,Leeds United,eng Premier League,36,3175,35.3,36,0,1,0,0,0,0,0,0,0,53,30,32,16,5,24,56,42.9,32,44,21,23,43,96,152,1,DF,ea6bc03a
196,Mohammed Salisu,52,2022-2023,23,gh GHA,Southampton,eng Premier League,22,1973,21.9,21,1,4,0,1,1,0,0,0,0,52,29,34,16,2,24,34,70.6,10,56,25,31,30,82,122,1,DF,0b33f6ad
197,Timothy Castagne,52,2020-2021,24,be BEL,Leicester City,eng Premier League,27,2345,26.1,27,0,0,2,3,5,2,0,0,0,52,32,29,18,5,24,44,54.5,20,29,5,24,29,81,62,1,DF,197640fd
198,Ashley Young,52,2018-2019,33,eng ENG,Manchester Utd,eng Premier League,30,2569,28.5,28,2,6,2,2,4,2,0,0,0,52,32,34,16,2,20,39,51.3,19,36,10,26,55,107,74,0,DF,be927d03
199,Issa Kaboré,52,2023-2024,22,bf BFA,Luton Town,eng Premier League,24,1729,19.2,21,3,4,0,2,2,0,0,0,0,52,28,23,21,8,24,45,53.3,21,22,11,11,16,68,56,2,DF,c066d1a5
200,Isaac Hayden,52,2020-2021,25,jm JAM,Newcastle Utd,eng Premier League,24,1942,21.6,22,2,3,0,0,0,0,0,0,0,52,29,23,22,7,14,35,40.0,21,32,9,23,43,95,47,0,MFDF,c951a6df
