,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
306,Dwight McNeil,894,2019-2020,19,eng ENG,Burnley,eng Premier League,38,3338,37.1,38,0,0,2,6,8,2,0,0,0,894,1305,68.5,55,97,42,34,97,15517,4923,470,537,87.5,257,369,69.6,133,265,50.2,MF,fc15fb84
307,Bukayo Saka,893,2021-2022,19,eng ENG,Arsenal,eng Premier League,38,2978,33.1,36,2,0,11,7,18,9,2,2,0,893,1196,74.7,68,40,31,6,101,13040,2831,527,612,86.1,289,374,77.3,46,106,43.4,FWMF,bc7dc64d
308,Ademola Lookman,892,2020-2021,22,ng NGA,Fulham,eng Premier League,34,2747,30.5,31,3,0,4,4,8,4,0,1,1,892,1199,74.4,61,51,41,5,110,13128,3607,497,577,86.1,295,378,78.0,56,128,43.8,FWMF,7c104bb7
309,Reece James,891,2022-2023,22,eng ENG,Chelsea,eng Premier League,16,1244,13.8,14,2,0,1,1,2,1,0,0,0,891,1051,84.8,21,60,24,6,90,14345,4119,468,499,93.8,337,395,85.3,67,109,61.5,DFMF,1265a93a
310,Josh Brownhill,891,2021-2022,25,eng ENG,Burnley,eng Premier League,35,2955,32.8,32,3,0,2,3,5,2,0,0,0,891,1196,74.5,40,97,22,3,106,13793,4197,463,547,84.6,291,389,74.8,77,147,52.4,MF,47369df8
311,Gylfi Sigurðsson,890,2019-2020,29,is ISL,Everton,eng Premier League,35,2560,28.4,28,7,0,2,3,5,1,1,1,0,890,1156,77.0,51,91,25,4,127,15044,4641,411,478,86.0,329,394,83.5,101,185,54.6,MF,76dd1480
312,Conor Gallagher,890,2021-2022,21,eng ENG,Crystal Palace,eng Premier League,34,2845,31.6,33,1,0,8,3,11,8,0,0,0,890,1188,74.9,38,86,20,9,94,14543,3809,443,517,85.7,305,386,79.0,88,173,50.9,MF,c2731c10
313,Fernandinho,889,2020-2021,35,br BRA,Manchester City,eng Premier League,21,1188,13.2,12,9,11,0,2,2,0,0,0,0,889,1026,86.6,14,124,13,1,114,14889,4335,426,467,91.2,364,416,87.5,73,96,76.0,MF,101da2b5
314,Jacob Ramsey,889,2021-2022,20,eng ENG,Aston Villa,eng Premier League,34,2467,27.4,29,5,1,6,1,7,6,0,0,0,889,1045,85.1,21,92,21,4,132,13297,3505,484,548,88.3,323,359,90.0,48,64,75.0,MF,1544f145
315,Naby Keïta,889,2018-2019,23,gn GUI,Liverpool,eng Premier League,25,1390,15.4,16,9,7,2,1,3,2,0,0,0,889,1011,87.9,9,86,28,0,103,12345,2967,522,574,90.9,275,308,89.3,42,54,77.8,MFFW,f25c8e3a
316,Nampalys Mendy,886,2020-2021,28,sn SEN,Leicester City,eng Premier League,23,1459,16.2,15,8,14,0,1,1,0,0,0,0,886,976,90.8,5,75,1,0,66,13245,2758,471,501,94.0,310,342,90.6,51,63,81.0,MF,1598599e
317,Todd Cantwell,886,2019-2020,21,eng ENG,Norwich City,eng Premier League,37,2489,27.7,30,7,0,6,2,8,6,0,0,0,886,1110,79.8,35,76,21,0,99,11726,2625,560,627,89.3,206,263,78.3,45,84,53.6,FWMF,f63d8a4b
318,Paul Pogba,885,2019-2020,26,fr FRA,Manchester Utd,eng Premier League,16,1204,13.4,13,3,0,1,3,4,1,0,1,1,885,1045,84.7,30,115,22,1,111,16108,4680,419,470,89.1,324,359,90.3,117,155,75.5,MF,867239d3
319,Matt Targett,883,2019-2020,23,eng ENG,Aston Villa,eng Premier League,28,2291,25.5,27,1,2,1,2,3,1,0,0,0,883,1229,71.8,26,76,27,11,115,14497,6305,485,543,89.3,305,421,72.4,75,193,38.9,DFMF,e514ab62
320,Philip Billing,879,2019-2020,23,dk DEN,Bournemouth,eng Premier League,34,2530,28.1,29,5,1,1,1,2,1,0,0,0,879,1216,72.3,15,70,18,1,100,14318,3856,452,594,76.1,317,397,79.8,79,139,56.8,MF,d328a254
321,Oriol Romeu,878,2018-2019,26,es ESP,Southampton,eng Premier League,31,2136,23.7,25,6,2,1,0,1,1,0,0,0,878,1111,79.0,8,115,10,1,147,14496,4798,427,488,87.5,376,460,81.7,60,105,57.1,MF,4b511457
322,Ross Barkley,877,2018-2019,24,eng ENG,Chelsea,eng Premier League,27,1245,13.8,13,14,9,3,5,8,3,0,0,0,877,971,90.3,22,66,18,1,90,13357,2609,496,529,93.8,275,301,91.4,64,72,88.9,MF,3a24769f
323,Ruben Loftus-Cheek,876,2021-2022,25,eng ENG,Chelsea,eng Premier League,24,1394,15.5,13,11,6,0,2,2,0,0,0,0,876,981,89.3,18,77,20,0,108,13025,3046,507,547,92.7,315,355,88.7,33,42,78.6,MFDF,e97fd090
324,Mathias Jensen,875,2023-2024,27,dk DEN,Brentford,eng Premier League,32,2204,24.5,27,5,0,3,3,6,3,0,0,0,875,1202,72.8,41,88,41,11,123,17423,6338,362,423,85.6,337,439,76.8,152,268,56.7,MF,0f134faf
325,James Maddison,874,2020-2021,23,eng ENG,Leicester City,eng Premier League,31,2099,23.3,24,7,0,8,5,13,8,0,0,0,874,1132,77.2,51,103,33,3,134,13447,3772,454,510,89.0,285,354,80.5,72,149,48.3,MF,ee38d9c5
326,Dwight McNeil,874,2023-2024,23,eng ENG,Everton,eng Premier League,35,2892,32.1,33,2,0,3,6,9,3,0,0,0,874,1266,69.0,69,72,54,20,114,14956,5035,465,534,87.1,263,371,70.9,116,252,46.0,MFFW,fc15fb84
327,Kiernan Dewsbury-Hall,872,2022-2023,23,eng ENG,Leicester City,eng Premier League,31,2306,25.6,28,3,2,2,2,4,2,0,0,0,872,1154,75.6,39,111,23,4,132,14495,3746,448,526,85.2,311,389,79.9,84,161,52.2,MF,5c74c0f5
328,Jack Grealish,872,2020-2021,24,eng ENG,Aston Villa,eng Premier League,26,2185,24.3,24,2,0,6,10,16,6,0,0,0,872,1105,78.9,81,91,69,3,189,12898,4406,500,572,87.4,267,321,83.2,58,110,52.7,FWMF,b0b4fd3e
329,Ashley Westwood,871,2021-2022,31,eng ENG,Burnley,eng Premier League,27,2287,25.4,26,1,0,0,3,3,0,0,0,0,871,1254,69.5,33,118,32,5,130,16111,5915,347,418,83.0,361,468,77.1,119,276,43.1,MF,495945ef
330,Oriol Romeu,871,2019-2020,27,es ESP,Southampton,eng Premier League,30,1860,20.7,20,10,8,0,0,0,0,0,0,0,871,1083,80.4,19,88,17,3,110,14768,4205,388,449,86.4,394,471,83.7,64,105,61.0,MF,4b511457
331,Amadou Onana,871,2023-2024,21,be BEL,Everton,eng Premier League,30,2091,23.2,23,7,1,2,0,2,2,0,0,0,871,1036,84.1,18,102,14,1,107,14568,4039,444,499,89.0,312,357,87.4,85,115,73.9,MF,828657ff
332,Nathan Redmond,871,2018-2019,24,eng ENG,Southampton,eng Premier League,38,3270,36.3,36,2,0,6,4,10,6,0,0,0,871,1205,72.3,52,75,62,16,129,13701,3495,477,583,81.8,283,364,77.7,72,143,50.3,MFFW,ab651565
333,Ethan Ampadu,870,2020-2021,19,wls WAL,Sheffield Utd,eng Premier League,25,2089,23.2,23,2,4,0,0,0,0,0,0,0,870,1087,80.0,11,76,14,2,100,15680,5536,370,424,87.3,378,446,84.8,102,158,64.6,DFMF,10b9fa99
334,Cyrus Christie,870,2018-2019,25,ie IRL,Fulham,eng Premier League,28,1948,21.6,19,9,10,0,1,1,0,0,0,0,870,1210,71.9,17,46,23,14,81,13877,4803,441,502,87.8,369,497,74.2,44,142,31.0,DFMF,7eb67dad
335,Abdoulaye Doucouré,864,2021-2022,28,ml MLI,Everton,eng Premier League,30,2537,28.2,29,1,1,2,4,6,2,0,0,0,864,1097,78.8,19,81,19,0,113,12771,3058,490,581,84.3,296,351,84.3,45,72,62.5,MF,02b29014
336,Adam Smith,863,2018-2019,27,eng ENG,Bournemouth,eng Premier League,25,2066,23.0,25,0,0,1,1,2,1,0,0,0,863,1074,80.4,11,70,15,3,98,12408,4620,552,627,88.0,263,327,80.4,32,72,44.4,DFMF,20b104bc
337,Ander Herrera,862,2018-2019,28,es ESP,Manchester Utd,eng Premier League,22,1403,15.6,16,6,3,2,3,5,2,0,0,0,862,990,87.1,15,70,10,1,93,12841,3843,467,496,94.2,297,332,89.5,48,74,64.9,MF,436a9dd0
338,Andros Townsend,861,2018-2019,27,eng ENG,Crystal Palace,eng Premier League,38,3009,33.4,34,4,0,6,4,10,6,0,0,0,861,1209,71.2,61,69,41,25,106,13269,3530,464,527,88.0,300,391,76.7,63,163,38.7,FWMF,b28bbd58
339,John Lundstram,859,2020-2021,26,eng ENG,Sheffield Utd,eng Premier League,28,2032,22.6,23,5,6,0,2,2,0,0,1,1,859,1082,79.4,20,64,14,2,78,13623,3077,417,454,91.9,295,352,83.8,79,168,47.0,MF,0df2b165
340,Robert Snodgrass,859,2018-2019,30,sct SCO,West Ham,eng Premier League,33,2220,24.7,25,8,3,2,5,7,2,0,0,0,859,1150,74.7,59,67,30,7,117,13135,4021,415,475,87.4,270,353,76.5,83,174,47.7,MF,9f4647e9
341,Roméo Lavia,859,2022-2023,18,be BEL,Southampton,eng Premier League,29,2221,24.7,26,3,0,1,0,1,1,0,0,0,859,997,86.2,16,101,9,0,102,14815,3986,386,425,90.8,389,426,91.3,68,93,73.1,MF,ecad9aa5
342,Alexis Mac Allister,858,2021-2022,22,ar ARG,Brighton,eng Premier League,33,2123,23.6,22,11,5,5,2,7,3,2,3,1,858,1066,80.5,31,104,25,2,137,14410,4157,411,473,86.9,328,370,88.6,78,133,58.6,MFFW,83d074ff
343,Bukayo Saka,858,2020-2021,18,eng ENG,Arsenal,eng Premier League,32,2553,28.4,30,2,4,5,3,8,5,0,0,0,858,1161,73.9,38,55,31,9,101,11752,2855,525,606,86.6,242,326,74.2,40,116,34.5,FWMF,bc7dc64d
344,Pablo Fornals,853,2020-2021,24,es ESP,West Ham,eng Premier League,33,2572,28.6,31,2,3,5,4,9,5,0,0,0,853,1118,76.3,31,84,30,6,134,12592,3756,481,556,86.5,282,362,77.9,45,86,52.3,FWMF,82927de4
345,Josh Brownhill,850,2023-2024,27,eng ENG,Burnley,eng Premier League,33,2252,25.0,23,10,4,4,2,6,4,0,0,0,850,1106,76.9,34,71,16,0,90,13206,3449,451,532,84.8,311,393,79.1,55,114,48.2,MF,47369df8
346,João Moutinho,850,2022-2023,35,pt POR,Wolves,eng Premier League,31,1780,19.8,20,11,2,0,2,2,0,0,0,0,850,1057,80.4,36,105,23,4,132,15648,4124,323,362,89.2,412,480,85.8,91,147,61.9,MF,f5a00fa4
347,Alex Iwobi,848,2023-2024,27,ng NGA,2 Teams,eng Premier League,32,2332,25.9,27,5,0,5,2,7,5,0,0,0,848,1093,77.6,53,85,49,9,151,14101,4447,413,465,88.8,332,413,80.4,73,133,54.9,MF,6ca5ec4b
348,James Maddison,844,2022-2023,25,eng ENG,Leicester City,eng Premier League,30,2480,27.6,28,2,0,10,9,19,9,1,2,1,844,1150,73.4,69,117,27,4,151,14244,4356,417,481,86.7,300,395,75.9,93,186,50.0,MFFW,ee38d9c5
349,John Fleck,842,2019-2020,27,sct SCO,Sheffield Utd,eng Premier League,30,2516,28.0,28,2,0,5,2,7,5,0,0,0,842,1164,72.3,39,105,35,7,139,13437,4460,427,494,86.4,268,342,78.4,89,198,44.9,MF,b63e789d
350,Giovani Lo Celso,839,2019-2020,23,ar ARG,Tottenham,eng Premier League,28,1492,16.6,15,13,4,0,2,2,0,0,0,0,839,1034,81.1,29,81,22,0,112,13215,3649,428,479,89.4,287,341,84.2,72,123,58.5,MFFW,d7553721
351,Adam Lallana,836,2021-2022,33,eng ENG,Brighton,eng Premier League,24,1561,17.3,18,6,10,0,1,1,0,0,0,0,836,962,86.9,8,58,17,1,76,11641,2793,502,552,90.9,265,288,92.0,28,53,52.8,MF,99813635
352,Dele Alli,836,2018-2019,22,eng ENG,Tottenham,eng Premier League,25,1825,20.3,22,3,0,5,3,8,5,0,0,0,836,1056,79.2,27,67,29,1,111,11782,2868,495,564,87.8,265,325,81.5,33,63,52.4,MF,cea4ee8f
353,Jonjo Shelvey,827,2019-2020,27,eng ENG,Newcastle Utd,eng Premier League,26,2119,23.5,25,1,6,6,2,8,6,0,0,0,827,1149,72.0,45,123,20,6,124,17762,6086,308,357,86.3,325,402,80.8,178,335,53.1,MF,3727dd3c
354,Harvey Elliott,825,2023-2024,20,eng ENG,Liverpool,eng Premier League,34,1352,15.0,11,23,4,3,6,9,3,0,0,0,825,986,83.7,37,76,45,11,128,13081,3101,457,496,92.1,278,323,86.1,66,105,62.9,MFFW,b9e1436c
355,Raphinha,824,2021-2022,24,br BRA,Leeds United,eng Premier League,35,2915,32.4,34,1,0,11,3,14,7,4,4,0,824,1301,63.3,65,91,49,11,134,13788,5181,399,497,80.3,275,420,65.5,99,259,38.2,FWMF,3423f250
356,Scott McTominay,822,2019-2020,22,sct SCO,Manchester Utd,eng Premier League,27,1772,19.7,20,7,2,4,1,5,4,0,0,0,822,1028,80.0,16,92,11,3,95,14868,4007,352,422,83.4,340,401,84.8,103,143,72.0,MF,d93c2511
357,Aaron Mooy,818,2019-2020,28,au AUS,Brighton,eng Premier League,31,2085,23.2,25,6,5,2,2,4,2,0,0,0,818,1092,74.9,39,87,26,5,158,12922,3701,459,513,89.5,245,311,78.8,81,169,47.9,MFFW,47b7e3af
358,Matheus Nunes,818,2022-2023,23,pt POR,Wolves,eng Premier League,34,2467,27.4,30,4,0,1,1,2,1,0,0,0,818,1028,79.6,27,70,19,7,84,15035,2954,387,451,85.8,290,339,85.5,119,173,68.8,MF,e6af02e0
359,Leandro Trossard,816,2020-2021,25,be BEL,Brighton,eng Premier League,35,2607,29.0,30,5,1,5,5,10,5,0,0,0,816,1094,74.6,50,80,58,10,142,13988,3742,389,471,82.6,302,375,80.5,93,141,66.0,MFFW,38ceb24a
360,Amadou Onana,816,2022-2023,20,be BEL,Everton,eng Premier League,33,2488,27.6,29,4,1,1,2,3,1,0,0,0,816,980,83.3,22,77,11,0,79,13145,3007,420,481,87.3,310,354,87.6,60,86,69.8,MF,828657ff
361,Philip Billing,813,2022-2023,26,dk DEN,Bournemouth,eng Premier League,36,2764,30.7,34,2,0,7,1,8,7,0,0,0,813,1055,77.1,26,49,9,3,80,11823,3165,460,542,84.9,257,317,81.1,45,94,47.9,MFFW,d328a254
362,Vitaly Janelt,812,2022-2023,24,de GER,Brentford,eng Premier League,35,2208,24.5,24,11,0,3,1,4,3,0,0,0,812,1020,79.6,16,75,19,8,82,14151,3894,411,466,88.2,298,360,82.8,90,139,64.7,MFDF,8449d35e
363,Harvey Elliott,809,2022-2023,19,eng ENG,Liverpool,eng Premier League,32,1613,17.9,18,14,5,1,2,3,1,0,0,0,809,1009,80.2,26,68,41,6,142,12346,3197,442,494,89.5,296,363,81.5,45,85,52.9,MFFW,b9e1436c
364,Pierre Lees-Melou,807,2021-2022,28,fr FRA,Norwich City,eng Premier League,33,2265,25.2,27,6,4,1,0,1,1,0,0,0,807,1033,78.1,25,81,26,9,114,13876,4105,413,483,85.5,252,299,84.3,107,169,63.3,MF,f5044e54
365,John McGinn,805,2022-2023,27,sct SCO,Aston Villa,eng Premier League,34,2693,29.9,30,4,1,1,3,4,1,0,0,0,805,1028,78.3,18,114,20,5,140,14385,4830,374,430,87.0,309,373,82.8,101,165,61.2,MFFW,90f91999
366,Jadon Sancho,805,2021-2022,21,eng ENG,Manchester Utd,eng Premier League,29,1900,21.1,20,9,3,3,3,6,3,0,0,0,805,984,81.8,41,31,39,7,88,10392,2336,525,602,87.2,218,271,80.4,21,30,70.0,FWMF,dbf053da
367,Gylfi Sigurðsson,802,2018-2019,28,is ISL,Everton,eng Premier League,38,3117,34.6,36,2,0,13,6,19,11,2,5,3,802,1206,66.5,73,88,49,9,172,12498,4914,389,474,82.1,257,349,73.6,85,209,40.7,MF,76dd1480
368,Tommy Doyle,801,2023-2024,21,eng ENG,Wolves,eng Premier League,26,1222,13.6,11,15,6,0,0,0,0,0,0,0,801,955,83.9,8,86,7,2,81,15164,4208,309,331,93.4,361,399,90.5,106,178,59.6,MF,5526deb1
369,Mateusz Klich,800,2021-2022,31,pl POL,Leeds United,eng Premier League,33,2073,23.0,26,7,4,1,2,3,1,0,0,0,800,1026,78.0,31,72,23,3,105,11259,3630,453,514,88.1,240,314,76.4,38,84,45.2,MF,282679b4
370,Lucas Torreira,798,2019-2020,23,uy URU,Arsenal,eng Premier League,29,1512,16.8,17,12,4,1,1,2,1,0,0,0,798,919,86.8,15,52,5,0,83,14097,3578,314,348,90.2,400,439,91.1,59,82,72.0,MF,52611641
371,Boubacar Kamara,798,2022-2023,22,fr FRA,Aston Villa,eng Premier League,24,1777,19.7,21,3,0,0,1,1,0,0,0,0,798,941,84.8,7,61,6,0,84,13161,3895,395,441,89.6,303,334,90.7,67,95,70.5,MF,cc77354e
372,James Maddison,796,2021-2022,24,eng ENG,Leicester City,eng Premier League,35,2459,27.3,28,7,0,12,8,20,12,0,0,0,796,1089,73.1,48,82,38,7,136,13401,4128,389,453,85.9,292,365,80.0,89,198,44.9,MFFW,ee38d9c5
373,Adam Lallana,792,2020-2021,32,eng ENG,Brighton,eng Premier League,30,1596,17.7,16,14,1,1,1,2,1,0,0,0,792,944,83.9,25,61,26,2,109,11000,2987,450,511,88.1,240,281,85.4,35,55,63.6,MFFW,99813635
374,Vinicius Souza,790,2023-2024,24,br BRA,Sheffield Utd,eng Premier League,36,2668,29.6,29,7,2,1,0,1,1,0,0,0,790,995,79.4,4,60,5,1,66,12856,3441,382,439,87.0,333,394,84.5,50,89,56.2,MF,6a8a7af8
375,Matheus Pereira,790,2020-2021,24,br BRA,West Brom,eng Premier League,33,2577,28.6,30,3,0,11,6,17,7,4,4,0,790,1097,72.0,59,63,42,8,115,12365,4136,443,510,86.9,213,301,70.8,90,193,46.6,MFFW,b04ee927
376,Youri Tielemans,789,2023-2024,26,be BEL,Aston Villa,eng Premier League,32,1622,18.0,17,15,0,2,6,8,2,0,0,0,789,949,83.1,18,101,25,1,128,12925,4025,397,434,91.5,315,368,85.6,58,92,63.0,MFFW,56f7a928
377,Emi Buendía,787,2022-2023,25,ar ARG,Aston Villa,eng Premier League,38,2412,26.8,27,11,0,5,2,7,5,0,0,0,787,1020,77.2,41,84,41,0,138,12082,3091,434,513,84.6,255,323,78.9,63,90,70.0,MFFW,66b76d44
378,Kenny McLean,786,2021-2022,29,sct SCO,Norwich City,eng Premier League,31,2706,30.1,29,2,1,1,0,1,1,0,0,0,786,1090,72.1,10,73,21,0,99,13086,4130,390,488,79.9,301,386,78.0,71,143,49.7,MF,471f16b3
379,Kalvin Phillips,786,2021-2022,25,eng ENG,Leeds United,eng Premier League,20,1596,17.7,18,2,3,0,1,1,0,0,0,0,786,971,80.9,9,79,12,2,93,15278,4563,284,320,88.8,396,440,90.0,98,170,57.6,MF,4f565d77
380,Ruben Loftus-Cheek,782,2022-2023,26,eng ENG,Chelsea,eng Premier League,25,1536,17.1,19,6,6,0,1,1,0,0,0,0,782,907,86.2,16,78,18,1,90,11417,2878,475,530,89.6,263,291,90.4,29,37,78.4,MFDF,e97fd090
381,Dwight McNeil,782,2021-2022,21,eng ENG,Burnley,eng Premier League,38,3107,34.5,35,3,0,0,1,1,0,0,0,0,782,1154,67.8,47,67,43,21,104,14022,4010,377,434,86.9,265,358,74.0,112,245,45.7,MF,fc15fb84
382,John Stones,781,2023-2024,29,eng ENG,Manchester City,eng Premier League,16,1064,11.8,12,4,11,1,0,1,1,0,0,0,781,839,93.1,6,53,1,0,57,12375,2872,402,426,94.4,322,335,96.1,41,54,75.9,DFMF,5eecec3d
383,Kaoru Mitoma,780,2022-2023,25,jp JPN,Brighton,eng Premier League,33,2318,25.8,24,9,2,7,5,12,7,0,0,0,780,977,79.8,41,45,28,1,90,10673,2356,507,570,88.9,214,268,79.9,30,53,56.6,FWMF,74618572
384,James Milner,779,2020-2021,34,eng ENG,Liverpool,eng Premier League,26,1070,11.9,11,15,4,0,1,1,0,0,0,0,779,934,83.4,13,66,21,3,100,12265,3618,435,466,93.3,270,315,85.7,56,92,60.9,MFDF,2f90f6b8
385,Chris Richards,778,2023-2024,23,us USA,Crystal Palace,eng Premier League,26,2094,23.3,23,3,9,1,1,2,1,0,0,0,778,942,82.6,6,41,2,0,43,13337,4341,362,413,87.7,341,389,87.7,58,100,58.0,DFMF,0a3d6d2b
386,Jack Harrison,778,2020-2021,23,eng ENG,Leeds United,eng Premier League,36,2847,31.6,34,2,0,8,8,16,8,0,0,0,778,1182,65.8,59,48,52,12,98,11941,3703,424,517,82.0,262,377,69.5,57,148,38.5,MFFW,aa849a12
387,Allan,778,2021-2022,30,br BRA,Everton,eng Premier League,28,2183,24.3,25,3,5,0,2,2,0,0,0,0,778,982,79.2,15,103,20,3,130,12868,4192,356,405,87.9,337,402,83.8,57,102,55.9,MF,cc700722
388,Joe Willock,777,2022-2023,22,eng ENG,Newcastle Utd,eng Premier League,35,2558,28.4,31,4,0,3,6,9,3,0,0,0,777,951,81.7,39,91,34,8,121,12123,3082,434,485,89.5,266,310,85.8,55,86,64.0,MF,a3b03921
389,Dan Gosling,776,2018-2019,28,eng ENG,Bournemouth,eng Premier League,25,1739,19.3,19,6,1,2,1,3,2,0,0,0,776,980,79.2,11,80,13,1,116,13014,4255,374,431,86.8,314,375,83.7,69,119,58.0,MF,7fec31a0
390,Boubakary Soumaré,776,2022-2023,23,fr FRA,Leicester City,eng Premier League,26,1629,18.1,20,6,3,0,0,0,0,0,0,0,776,902,86.0,11,80,5,1,73,11579,3059,429,470,91.3,276,314,87.9,39,57,68.4,MF,ae59b359
391,James McArthur,773,2021-2022,33,sct SCO,Crystal Palace,eng Premier League,21,1439,16.0,15,6,1,0,3,3,0,0,0,0,773,940,82.2,16,64,19,4,84,13033,3152,357,397,89.9,330,366,90.2,61,114,53.5,MF,cee31595
392,Junior Firpo,768,2021-2022,24,do DOM,Leeds United,eng Premier League,24,1711,19.0,19,5,1,0,2,2,0,0,0,0,768,952,80.7,22,70,16,6,111,12029,4281,417,475,87.8,299,362,82.6,38,71,53.5,DFMF,24f59bb2
393,Alex Iwobi,767,2018-2019,22,ng NGA,Arsenal,eng Premier League,35,1970,21.9,22,13,1,3,6,9,3,0,0,0,767,1028,74.6,40,53,65,8,141,11207,3123,442,515,85.8,259,332,78.0,37,81,45.7,FWMF,6ca5ec4b
394,Chris Löwe,767,2018-2019,29,de GER,Huddersfield,eng Premier League,29,2057,22.9,23,6,4,0,2,2,0,0,0,0,767,1109,69.2,20,42,24,21,64,13554,4429,386,454,85.0,248,348,71.3,109,220,49.5,DFMF,c6896eab
395,Pascal Groß,765,2019-2020,28,de GER,Brighton,eng Premier League,29,1796,20.0,22,7,9,2,4,6,2,0,0,0,765,1059,72.2,59,53,34,10,135,13347,3860,383,435,88.0,260,325,80.0,97,211,46.0,MFFW,8aec0537
396,Kai Havertz,764,2023-2024,24,de GER,Arsenal,eng Premier League,37,2634,29.3,30,7,0,13,7,20,12,1,1,0,764,955,80.0,46,65,29,1,99,9583,2405,525,609,86.2,195,245,79.6,7,15,46.7,MFFW,fed7cb61
397,Oliver Skipp,763,2021-2022,20,eng ENG,Tottenham,eng Premier League,18,1350,15.0,14,4,1,0,0,0,0,0,0,0,763,851,89.7,8,78,11,2,76,11665,2984,383,408,93.9,302,323,93.5,36,59,61.0,MF,6250083a
398,Rayan Aït-Nouri,763,2021-2022,20,dz ALG,Wolves,eng Premier League,23,1828,20.3,20,3,12,1,2,3,1,0,0,0,763,1025,74.4,17,28,14,10,49,12151,4064,418,472,88.6,273,361,75.6,54,141,38.3,DFMF,9b398aea
399,Nathan Redmond,763,2019-2020,25,eng ENG,Southampton,eng Premier League,32,2762,30.7,32,0,0,4,4,8,4,0,0,0,763,1072,71.2,36,56,38,7,104,11856,2570,414,499,83.0,257,346,74.3,56,128,43.8,MFFW,ab651565
400,Ben Chilwell,762,2022-2023,25,eng ENG,Chelsea,eng Premier League,23,1408,15.6,15,8,2,2,2,4,2,0,0,0,762,977,78.0,21,42,10,7,41,10963,3238,469,507,92.5,223,284,78.5,42,123,34.1,DFMF,d2424d1b
